unique_plot,station,plot,coupe,location,climate_recorded,logged,history,logging_method,logging_intensity,logging_year,latco,longco,census
1_1,1,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
1_2,1,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
1_3,1,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
2_1,2,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
2_2,2,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
2_3,2,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
3_1,3,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
3_2,3,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
3_3,3,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
4_1,4,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
4_2,4,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
4_3,4,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
5_1,5,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
5_2,5,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
5_3,5,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
6_1,6,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
6_2,6,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
6_3,6,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
7_1,7,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
7_2,7,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
7_3,7,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
8_1,8,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
8_2,8,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
8_3,8,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
