,family,number,genus,species,comment,,
411,Myristicaceae,18,Horsfieldia,irya,X2 NO BC,,
412,Myristicaceae,18,Horsfieldia,polyspherula,X,,
413,Myristicaceae,18,Horsfieldia,unknown mixed,X,,
414,Myristicaceae,18,Knema,cinerea,X,,
415,Myristicaceae,18,Knema,elmeri,E00166111,,
416,Myristicaceae,18,Knema,furfuracea,"E00160422,E00164355",,
417,Myristicaceae,18,Knema,glomerata,X,,
418,Myristicaceae,18,Knema,kostermannsiana,X,,
419,Myristicaceae,18,Knema,latericia,NO BC,,
420,Myristicaceae,18,Knema,laurina,NO BC,,
421,Myristicaceae,18,Knema,oblongata,X,,
422,Myristicaceae,18,Knema,pulchra,X,,
423,Myristicaceae,18,Knema,unknown mixed,X,,
424,Myristicaceae,18,Myristica,cinnamomea,E00375689,X1 NO BC,
316,Magnoliaceae,19,Magnolia,beccarii,X,,
317,Magnoliaceae,19,Magnolia,candolii,E00037285,,
318,Magnoliaceae,19,Magnolia,gigantifolia,X,,
319,Malvaceae,19,Brownlowia,peltata,,,
33,Annonaceae,23,Anaxagorea,javanica,GENUS INDET E00016912,,
34,Annonaceae,23,Cananga,odorata,X,,
35,Annonaceae,23,Cyathocalyx,magnifructus,X,GENUS NOT SP,
36,Annonaceae,23,Goniothalamus,gigantifolius,X,,
37,Annonaceae,23,Goniothalamus,species 1,X,,
38,Annonaceae,23,Goniothalamus,species 2,X,,
39,Annonaceae,23,Goniothalamus,species 3,X,,
40,Annonaceae,23,Goniothalamus,uvarioides,X,,
41,Annonaceae,23,Goniothalamus,woodii,NO BC ,,
42,Annonaceae,23,Marsypopetalum,pallidum,X,,
43,Annonaceae,23,Meiogyne,virgata,"E00160420,E00187530",,
44,Annonaceae,23,Monocarpia,borneensis,X,,
45,Annonaceae,23,Monoon,erianthoides,X,,
46,Annonaceae,23,Monoon,grandiflorum,X,,
47,Annonaceae,23,Monoon,hookerianum,X,,
48,Annonaceae,23,Monoon,species 1,X,,
49,Annonaceae,23,Monoon,species 2,X,,
50,Annonaceae,23,Monoon,xanthopetalum,X,,
51,Annonaceae,23,Neo-Uvaria,acuminatissima,E00194689,ACUMINATA,
52,Annonaceae,23,Neo-Uvaria,unknown mixed,X,,
53,Annonaceae,23,Orophea,corymbosa,X,,
54,Annonaceae,23,Orophea,creaghii,X,,
55,Annonaceae,23,Orophea,myriantha,X,,
56,Annonaceae,23,Phaeanthus,ophthalmicus,X,,
57,Annonaceae,23,Phaeanthus,splendens,X,,
58,Annonaceae,23,Polyalthia,borneensis,X,,
59,Annonaceae,23,Polyalthia,cauliflora,"E00148438,E00148460,",X2 NO BC,
60,Annonaceae,23,Polyalthia,insignis,X,,
61,Annonaceae,23,Polyalthia,microtus,X,,
62,Annonaceae,23,Polyalthia,obliqua,X,,
63,Annonaceae,23,Polyalthia,saprosma,X,,
64,Annonaceae,23,Polyalthia,species 3,X,,
65,Annonaceae,23,Popowia,hirtum,X,,
66,Annonaceae,23,Popowia,odoardoi,X,,
67,Annonaceae,23,Popowia,pisocarpa,X,,
68,Annonaceae,23,Popowia,unknown mixed,X,,
69,Annonaceae,23,Pseuduvaria,pamattonis,X,,
70,Annonaceae,23,Pseuduvaria,reticulata,GENUS INDET E0028371,,
71,Annonaceae,23,Sageraea,lanceolata,X,,
72,Annonaceae,23,Sageraea,sarawakensis,X,,
73,Annonaceae,23,Xylopia,ferruginea,X,,
262,Lauraceae,30,Actinodaphne,borneensis,,,
263,Lauraceae,30,Actinodaphne,glomerata,,,
264,Lauraceae,30,Actinodaphne,macrophylla,,,
265,Lauraceae,30,Actinodaphne,pruinosa,,,
266,Lauraceae,30,Actinodaphne,species 1,,,
267,Lauraceae,30,Actinodaphne,unknown mixed,,,
268,Lauraceae,30,Alseodaphne,bancana,,,
269,Lauraceae,30,Alseodaphne,unknown mixed,,,
270,Lauraceae,30,Beilschmiedia,assamica,NO BC,,
271,Lauraceae,30,Beilschmiedia,cuadrae,,,
272,Lauraceae,30,Beilschmiedia,micrantha,,,
273,Lauraceae,30,Beilschmiedia,tawaensis,NO BC,TAWA,
274,Lauraceae,30,Beilschmiedia,Unknown species 1,,,
275,Lauraceae,30,Caryodaphnopsis,tonkinensis,,,
276,Lauraceae,30,Cinnamomum,griffithii,,,
277,Lauraceae,30,Cinnamomum,racemosum,,,
278,Lauraceae,30,Cinnamomum,unknown mixed,,,
279,Lauraceae,30,Cryptocarya,erectinervia,,,
280,Lauraceae,30,Cryptocarya,pulchrinervia,,,
281,Lauraceae,30,Cryptocarya,teysmanniana,,,
282,Lauraceae,30,Dehaasia,caesia,,,
283,Lauraceae,30,Dehaasia,gigantocarpa,E00164353,,
284,Lauraceae,30,Dehaasia,incrassata,E00006100,,
285,Lauraceae,30,Dehaasia,unknown mixed,,,
286,Lauraceae,30,Eusideroxylon,zwageri,NO BC,,
287,Lauraceae,30,Litsea,accedens,,,
288,Lauraceae,30,Litsea,angulata,,,
289,Lauraceae,30,Litsea,caulocarpa,,,
290,Lauraceae,30,Litsea,cordifolia,,,
291,Lauraceae,30,Litsea,cuprea,,,
292,Lauraceae,30,Litsea,curtisii,,,
293,Lauraceae,30,Litsea,elliptica,E00198915,,
294,Lauraceae,30,Litsea,ferruginea,,,
295,Lauraceae,30,Litsea,ficoidea,,,
296,Lauraceae,30,Litsea,fulva,NO BC,,
297,Lauraceae,30,Litsea,garciae,X2 NO BC,,
298,Lauraceae,30,Litsea,grandis,,,
299,Lauraceae,30,Litsea,longifolia,,,
300,Lauraceae,30,Litsea,machilifolia,,,
301,Lauraceae,30,Litsea,oppositifolia,,,
302,Lauraceae,30,Litsea,robusta,,,
303,Lauraceae,30,Litsea,unknown mixed,,,
304,Lauraceae,30,Nothaphoebe,canascens,,,
305,Lauraceae,30,Nothaphoebe,heterophylla,,,
306,Lauraceae,30,Nothaphoebe,letophylla,,,
307,Lauraceae,30,Nothaphoebe,umbelliflora,,,
308,Lauraceae,30,Phoebe,grandis,,,
547,Sabiaceae,133,Meliosma,pinnata,X,,
548,Sabiaceae,133,Meliosma,sumatrana,NO BC,,
549,Salicaceae,133,Casearia,grewiifolia,X,,
550,Salicaceae,133,Flacourtia,rukam,XX,,
551,Salicaceae,133,Homalium,foetidum,X,,
552,Santalaceae,133,Scleropyrum,pentandrum,X,,
494,Proteaceae,136,Helicia,excelsa,X,,
495,Proteaceae,136,Helicia,robusta,X,,
496,Proteaceae,136,Heliciopsis,artocarpoides,X,,
691,Vitaceae,162,Leea,aculeata,X,,
692,Vitaceae,162,Leea,indica,X,,
120,Combretaceae,177,Terminalia,citrina,X,,
121,Combretaceae,177,Terminalia,ivorensis,X,,
122,Combretaceae,177,Terminalia,phellocarpa,X,,
123,Combretaceae,177,Terminalia,species 1,X,,
124,Combretaceae,177,Terminalia,species 2,X,,
315,Lythraceae,178,Duabanga,moluccana,X,,
425,Myrtaceae,181,Decaspermum,parviflorum,X,,
426,Myrtaceae,181,Syzygium,barringtonioides,X,,
427,Myrtaceae,181,Syzygium,christmannii,X,,
428,Myrtaceae,181,Syzygium,creaghii,X,,
429,Myrtaceae,181,Syzygium,elliptilimbum,X,,
430,Myrtaceae,181,Syzygium,elopurae,X,,
431,Myrtaceae,181,Syzygium,fastigiatum,X,,
432,Myrtaceae,181,Syzygium,hirtum,X,,
433,Myrtaceae,181,Syzygium,imperiale,X,,
434,Myrtaceae,181,Syzygium,kiauese,X,,
435,Myrtaceae,181,Syzygium,kunstleri,X,,
436,Myrtaceae,181,Syzygium,leptostemon,X,,
437,Myrtaceae,181,Syzygium,panzeri,X,,
438,Myrtaceae,181,Syzygium,penibukanense,X,,
439,Myrtaceae,181,Syzygium,pustulatum,X,,
440,Myrtaceae,181,Syzygium,scortechinii,X,,
441,Myrtaceae,181,Syzygium,tawahensis,X,,
