No.,Family,Genus,Species,Subspecies,Mnemonic,IDlevel,Authority,PriorNames,SpeciesID
1,Achariaceae,Hydnocarpus,anomalus,,HYDNAN,,,,1
2,Achariaceae,Hydnocarpus,borneensis,,HYDNBO,,,,2
3,Achariaceae,Hydnocarpus,polypetalus,,HYDNPO,,,,3
4,Achariaceae,Hydnocarpus,unknown mixed,,HYDNXX,,,,4
5,Achariaceae,Pangium,edule,,PANGED,,,,5
6,Achariaceae,Ryparosa,acuminata,,RYPAAC,,,,6
7,Achariaceae,Ryparosa,hullettii,,RYPAHU,,,,7
8,Achariaceae,Ryparosa,unknown mixed,,RYPAXX,,,,8
9,Actinidiaceae,Saurauia,agamae,,SAURAG,,,,9
10,Actinidiaceae,Saurauia,sp,,SAURS1,,,,10
11,Actinidiaceae,Saurauia,sp,,SAURS2,,,,11
12,Actinidiaceae,Saurauia,unknown mixed,,SAURXX,,,,12
13,Anacardiaceae,Buchanania,arborescens,,BUCHAR,,,,14
14,Anacardiaceae,Buchanania,sessilifolia,,BUCHSE,,,,15
15,Anacardiaceae,Buchanania,unknown mixed,,BUCHXX,,,,16
16,Anacardiaceae,Dracontomelon,costatum,,DRACCO,,,,17
17,Anacardiaceae,Dracontomelon,dao,,DRACDA,,,,18
18,Anacardiaceae,Dracontomelon,unknown mixed,,DRACXX,,,,19
19,Anacardiaceae,Mangifera,foetida,,MANGFO,,,,26
20,Anacardiaceae,Mangifera,indica,,MANGIN,,,,23
21,Anacardiaceae,Mangifera,odorata,,MANGOD,,,,27
22,Anacardiaceae,Mangifera,pajang,,MANGPA,,,,24
23,Anacardiaceae,Mangifera,rufocostata,,MANGRU,,,,25
24,Anacardiaceae,Mangifera,species 1,,MANGS1,,,,29
25,Anacardiaceae,Mangifera,swintonioides,,MANGSW,,,,28
26,Anacardiaceae,Mangifera,unknown mixed,,MANGXX,,,,30
27,Anacardiaceae,Melanochyla,auriculata,,MELAAU,,,,31
28,Anacardiaceae,Melanochyla,beccariana,,MELABE,,,,32
29,Anacardiaceae,Melanochyla,unknown mixed,,MELAXX,,,,33
30,Anacardiaceae,Semecarpus,bunburyana,,SEMEBU,,,,34
31,Anisophylleaceae,Anisophyllea,beccariana,,ANI1BE,,,,36
32,Anisophylleaceae,Anisophyllea,cornerii,,ANI1CO,,,,37
33,Annonaceae,Anaxagorea,javanica,,ANAXJA,,,,40
34,Annonaceae,Cananga,odorata,,CAN1OD,,,,41
35,Annonaceae,Cyathocalyx,magnifructus,,CYATMA,,,,42
36,Annonaceae,Goniothalamus,gigantifolius,,GONIGI,,,,46
37,Annonaceae,Goniothalamus,species 1,,GONIS1,,,,49
38,Annonaceae,Goniothalamus,species 2,,GONIS2,,,,50
39,Annonaceae,Goniothalamus,species 3,,GONIS3,,,,51
40,Annonaceae,Goniothalamus,uvarioides,,GONIUV,,,,47
41,Annonaceae,Goniothalamus,woodii,,GONIWO,,,,48
42,Annonaceae,Marsypopetalum,pallidum,,MARSPA,,,,54
43,Annonaceae,Meiogyne,virgata,,MEIOVI,,,,55
44,Annonaceae,Monocarpia,borneensis,,MON1BO,,,,56
45,Annonaceae,Monoon,erianthoides,,MON2ER,,,,57
46,Annonaceae,Monoon,grandiflorum,,MON2GR,,,,58
47,Annonaceae,Monoon,hookerianum,,MON2HO,,,,59
48,Annonaceae,Monoon,species 1,,MON2S1,,,,61
49,Annonaceae,Monoon,species 2,,MON2S2,,,,62
50,Annonaceae,Monoon,xanthopetalum,,MON2XA,,,,60
51,Annonaceae,Neo-Uvaria,acuminatissima,,NEOUAC,,,,64
52,Annonaceae,Neo-Uvaria,unknown mixed,,NEOUXX,,,,65
53,Annonaceae,Orophea,corymbosa,,OROPCO,,,,66
54,Annonaceae,Orophea,creaghii,,OROPCR,,,,822
55,Annonaceae,Orophea,myriantha,,OROPMY,,,,67
56,Annonaceae,Phaeanthus,ophthalmicus,,PHAEOP,,,,82
57,Annonaceae,Phaeanthus,splendens,,PHAESP,,,,83
58,Annonaceae,Polyalthia,borneensis,,POL1BO,,,,68
59,Annonaceae,Polyalthia,cauliflora,,POL1CA,,,,69
60,Annonaceae,Polyalthia,insignis,,POL1IN,,,,70
61,Annonaceae,Polyalthia,microtus,,POL1MI,,,,71
62,Annonaceae,Polyalthia,obliqua,,POL1OB,,,,72
63,Annonaceae,Polyalthia,saprosma,,POL1SA,,,,73
64,Annonaceae,Polyalthia,species 3,,POL1S3,,,,780
65,Annonaceae,Popowia,hirtum,,POPOHI,,,,76
66,Annonaceae,Popowia,odoardoi,,POPOOD,,,,77
67,Annonaceae,Popowia,pisocarpa,,POPOPI,,,,78
68,Annonaceae,Popowia,unknown mixed,,POPOXX,,,,79
69,Annonaceae,Pseuduvaria,pamattonis,,PSEUPA,,,,80
