notes,species,family,reference,calyx_length_mm,corolla_tube_mm,corolla_length_mm,corolla_colour,stamen_length_mm,distribution,altitude
NA,Vachellia tomentosa,leg,Nielsen 1992,0.9_1.2,NA,2.8_3.5,white_yellow,5,Sri Lanka_S India_Bengal_Myanmar_Thailand_Vietnam_Java_Madura_Sumba_Sumbawa_Sulawesi,1_500
NA,Vachellia leucophloea,leg,Nielsen 1992,0.8_1.2,NA,1.2_2,yellow_cream,2.8,India_Myanmar_Thailand_S Vietnam_Java_Madura_Bali_Timor,50_750
Leaf data is from phyllodes,Acacia simsii,leg,Nielsen 1992,0.6_1,NA,1.3_1.5,yellow,3,Australia_New Guinea,1_300
Leaf data is from phyllodes,Acacia oraria,leg,Nielsen 1992,1_1.4,NA,1.5_1.9,yellow,3_4,Queensland_Alor_Flores_Timor,300_700
Leaf data is from phyllodes,Acacia confusa,leg,Nielsen 1992,1_1.3,NA,1.5_1.9,yellow,3.5,Taiwan_Luzon,NA
Leaf data is from phyllodes,Acacia spirorbis,leg,Nielsen 1992,0.8_1,NA,1.8_2.5,NA,2.5_3.5,Queensland_Aneityum Is_Aroa River,NA
Leaf data is from phyllodes,Acacia pubirhacis,leg,Nielsen 1992,0.7,NA,1.6,NA,2,Queensland_W Province PNG,NA
Leaf data is from phyllodes,Acacia mangium,leg,Nielsen 1992,0.6_0.8,NA,1.2_1.5,white_cream_green_yellow,3.5,E Australia_S New Guinea_Aru Is_Ambon_Buru_Seram_Sanana_Taliabu,1_195
Leaf data is from phyllodes,Acacia leptocarpa,leg,Nielsen 1992,0.5_1,NA,1.6_2.4,yellow,3_4,Queensland_N Territory_Wetar_S New Guinea,10_30
Leaf data is from phyllodes,Acacia crassicarpa,leg,Nielsen 1992,0.5_0.7,NA,1.3_1.6,yellow,2_3,Queensland_W PNG,9_30
Leaf data is from phyllodes,Acacia auriculiformis,leg,Nielsen 1992,0.7_1,NA,1.7_2,yellow,3,Queensland_Northern Territory_New Guinea_Kai Is,1_90
Leaf data is from phyllodes,Acacia aulacocarpa,leg,Nielsen 1992,0.5_1,NA,1.2_1.9,yellow_green_cream,2.5_3,E Australia_New Guinea,15_60
Leaf data is from phyllodes,Acacia wetarensis,leg,Nielsen 1992,0.4_0.5,NA,1.2_1.5,NA,2.5,Timor_Wetar,1_900
NA,Albizia acle,leg,Nielsen 1992,2_4,NA,6_7,white,20,Central Prov PNG,1_220
NA,Albizia chinensis,leg,Nielsen 1992,2_5,NA,6_10,NA,20,Sri Lanka_India_Myanmar_Indochina_S China_Java_Bali_Lombok_Sumba_Sumbawa_Flores_Timor,10_1700
NA,Albizia corniculata,leg,Nielsen 1992,1.5_2,NA,5_6,NA,10,S China_Indochina_Thailand_Sabah_Brunei_Sarawak_Palawan,1_300
NA,Albizia dolichadena,leg,Nielsen 1992,2.5_3.5,NA,NA,NA,20,Sabah,3_30
NA,Albizia kostermansii,leg,Nielsen 1992,1.8_2,NA,5.5_6.2,white,15,Borneo,20_500
NA,Albizia lebbekoides,leg,Nielsen 1992,1_1.5,NA,4_5,green,6,Thailand_Laos_Cambodia_Laos_Vietnam_Java_Sulawesi_Philippines_Sumbawa_Kisar_Sumba_Komodo_Flores_Bali_Timor,1_1800
NA,Albizia myriophylla,leg,Nielsen 1992,0.75,NA,3.5_5.5,NA,3.5_5.5,N India_E Himalayas_Myanmar_Thailand_Cambodia_Laos_S Vietnam_N Malay Peninsula_Langkawi_Perlis_Kelantan_Trengganu_Perak_Pahang,1_300
NA,Albizia papuensis,leg,Nielsen 1992,3,NA,6.8_7,cream,15_17,PNG,1_1200
NA,Albizia pedicellata,leg,Nielsen 1992,3_5,NA,6_8,white,20_25,Peninsular Malaysia_Sumatra_Bangka_Borneo_Palawan_Subuyan_Luzon,10_500
NA,Albizia philippinensis,leg,Nielsen 1992,1.5_2,NA,4_4.5,yellow_white,10_14,Luzon_Mindoro,250
NA,Albizia procera,leg,Nielsen 1992,1.5_3,NA,3.5_6.5,green_white,12.5,India_Myanmar_Indochina_Thailand_Hainan_Taiwan_Queensland_Java_Philippines_Sulawesi_LSI_Moluccas_Kai_Tanimbar_New Guinea_Borneo,1_1545
NA,Albizia retusa,leg,Nielsen 1992,1.5_3.5,NA,5_9.5,white,15,Ryukus_Peninsular Thailand_Malesia_Queensland_New Hebrides_Micronesia_Carolines,50_900
NA,Albizia rosulata,leg,Nielsen 1992,1.5_3,NA,5_9,green_white,20,Borneo,1_750
NA,Albizia rufa,leg,Nielsen 1992,1.2,NA,4_5,green_white,12_20,W Java,50_600
NA,Albizia saponaria,leg,Nielsen 1992,1_2.5,NA,4.5_7.1,cream_yellow,NA,Philippines_Sulawesi_Sula Is_Ternate_Halmahera_Seram_Ambon_Morotai,1_1050
NA,Albizia splendens,leg,Nielsen 1992,2_2.5,NA,6_8,green_white,6_8,Peninsular Thailand_Malay Peninsula_Sumatra_Brunei_Sabah_Kalimantan,1_700
NA,Albizia tomentella,leg,Nielsen 1992,1.8_4.5,NA,4.5_9,green,10,Java_Timor_W Flores_Sumbawa_Alor_Wetar,1_1190
NA,Albizia westerhuisii,leg,Nielsen 1992,2_2.5,NA,7_8.5,white,15,W Irian,174_450
NA,Archidendron rufescens,leg,Nielsen 1992,6_8,NA,20_24,cream_brown,55_65,Sepik Province,900
NA,Archidendron forbesii,leg,Nielsen 1992,12_14,NA,22_35,cream_white,50,C Province PNG,480
NA,Archidendron calliandrum,leg,Nielsen 1992,7_10,NA,20_25,NA,50_70,New Guinea,10_200
NA,Archidendron bellum,leg,Nielsen 1992,7_16,NA,27_35,white,45_55,New Guinea,50_700
NA,Archidendron tenuiracemosum,leg,Nielsen 1992,1_2,NA,3.5_6.5,NA,10_30,Morobe_Obi_West Papua,10_500
