family ,genus,species,history_at_INDFORSUS_site,species_origin,logging_status,
Rubiaceae,Acranthera,frutescens,NA,50ha,unlogged,
Rubiaceae,Acranthera,velutinervia,NA,50ha,unlogged,
Lauraceae,Actinodaphne,borneensis,NA,50ha,unlogged,
Lauraceae,Actinodaphne,glomerata,NA,50ha,unlogged,
Lauraceae,Actinodaphne,macrophylla,NA,50ha,unlogged,
Lauraceae,Actinodaphne,pruinosa,NA,50ha,unlogged,
Lauraceae,Actinodaphne,species 1,NA,50ha,unlogged,
Lauraceae,Actinodaphne,unknown mixed,NA,"50ha, CP",both,
Fabaceae,Adenanthera,kostermansii,NA,"50ha, CP",both,
Fabaceae,Adenanthera,malayana,NA,"50ha, CP",both,
Theaceae,Adinandra,unknown mixed,NA,CP,logged,
Meliaceae,Aglaia,angustifolia,NA,"50ha, CP",both,
Meliaceae,Aglaia,argentea,NA,"50ha, CP",both,
Meliaceae,Aglaia,crassinervia,NA,50ha,unlogged,
Meliaceae,Aglaia,edulis,NA,50ha,unlogged,
Meliaceae,Aglaia,elliptica,NA,50ha,unlogged,
Meliaceae,Aglaia,grandis,NA,50ha,unlogged,
Meliaceae,Aglaia,luzoniensis,NA,50ha,unlogged,
Meliaceae,Aglaia,macrocarpa,NA,50ha,unlogged,
Meliaceae,Aglaia,odoratissima,NA,"50ha, CP",both,
Meliaceae,Aglaia,oligophylla,NA,50ha,unlogged,
Meliaceae,Aglaia,silvestris,NA,"50ha, CP",both,
Meliaceae,Aglaia,spectabilis,NA,"50ha, CP",both,
Meliaceae,Aglaia,tomentosa,NA,"50ha, CP",both,
Meliaceae,Aglaia,unknown mixed,NA,"50ha, CP",both,
Cornaceae,Alangium,javanicum,Unlogged,"50ha, CP, IF",both,
Sapindaceae,Allophylus,cobbe,NA,50ha,unlogged,
Lauraceae,Alseodaphne,bancana,NA,50ha,unlogged,
Lauraceae,Alseodaphne,unknown mixed,NA,"50ha, CP",both,
Apocynaceae,Alstonia,angustifolia,NA,"50ha, CP",both,
Apocynaceae,Alstonia,iwahigensis,NA,50ha,unlogged,
Annonaceae,Anaxagorea,javanica,NA,50ha,unlogged,
Anisophylleaceae,Anisophyllea,beccariana,NA,50ha,unlogged,
Anisophylleaceae,Anisophyllea,corneri,NA,"50ha, CP",both,
Dipterocarpaceae,Anisoptera,costata,NA,"50ha, CP",both,
Moraceae,Antiaris,toxicaria,NA,50ha,unlogged,
Phyllanthaceae,Antidesma,leucopodum,NA,50ha,unlogged,
Phyllanthaceae,Antidesma,neurocarpum,NA,50ha,unlogged,
Antidesma species 1,Phyllanthaceae,species 1,NA,CP,logged,
Phyllanthaceae,Antidesma,roxburghii,NA,50ha,unlogged,
Phyllanthaceae,Antidesma,unknown mixed,NA,"50ha, CP",both,
Meliaceae,Aphanamixis,borneensis,NA,50ha,unlogged,
Meliaceae,Aphanamixis,unknown mixed,NA,50ha,unlogged,
Phyllanthaceae,Aporosa,elmeri,NA,CP,logged,
Phyllanthaceae,Aporosa,falcifera,NA,CP,logged,
Phyllanthaceae,Aporosa,frutescens,NA,CP,logged,
Phyllanthaceae,Aporosa,grandistipula,NA,CP,logged,
Phyllanthaceae,Aporosa,illustris,NA,CP,logged,
Phyllanthaceae,Aporusa,unknown mixed,NA,CP,logged,
Thymelaeaceae,Aquilaria,beccariana,NA,50ha,unlogged,
Fabaceae,Archidendron,microcarpum,NA,50ha,unlogged,
Fabaceae,Archidendron,unknown mixed,NA,50ha,unlogged,
Primulaceae,Ardisia ,colorata,NA,CP,logged,
Primulaceae,Ardisia ,macrophylla,NA,CP,logged,
Primulaceae,Ardisia ,unknown mixed,NA,CP,logged,
Moraceae,Artocarpus,anisophyllus,NA,"50ha, CP",both,
Moraceae,Artocarpus,elasticus,NA,CP,logged,
Moraceae,Artocarpus,heterophyllus,NA,CP,logged,
Moraceae,Artocarpus,unknown mixed,NA,CP,logged,
Chrysobalanaceae,Atuna,excelsa,NA,CP,logged,
Meliaceae,Azadirachta,excelsa,NA,"50ha, CP",both,
Phyllanthaceae,Baccaurea,edulis,NA,50ha,unlogged,
Phyllanthaceae,Baccaurea,lanceolata,NA,"50ha, CP",both,
Phyllanthaceae,Baccaurea,macrocarpa,NA,"50ha, CP",both,
Phyllanthaceae,Baccaurea,parviflora,NA,50ha,unlogged,
Phyllanthaceae,Baccaurea,species 1,NA,50ha,unlogged,
Phyllanthaceae,Baccaurea,tetrandra,NA,"50ha, CP",both,
Phyllanthaceae,Baccaurea,unknown mixed,NA,"50ha, CP",both,
Lecythidaceae ,Barringtonia,lanceolata,NA,"50ha, CP",both,
Lecythidaceae ,Barringtonia,macrostachya,NA,"50ha, CP",both,
Lecythidaceae,Barringtonia,unknown mixed,NA,50ha,unlogged,
Lauraceae,Beilschmiedia,Unknown species 1,NA,50ha,unlogged,
Lauraceae,Beilschmiedia,assamica,NA,50ha,unlogged,
Lauraceae,Beilschmiedia,,NA,"50ha, CP",both,
Lauraceae,Beilschmiedia,micrantha,NA,"50ha, CP",both,
Lauraceae,Beilschmiedia,tawaensis,NA,"50ha, CP",both,
Lauraceae,Beilschmiedia,unknown mixed,NA,CP,logged,
Centroplacaceae,Bhesa,paniculata,NA,50ha,unlogged,
Euphorbiaceae,Blumeodendron,kurzii,NA,"50ha, CP",both,
Euphorbiaceae,Blumeodendron,tokbrai,NA,"50ha, CP",both,
Phyllanthaceae,Bridelia,,NA,50ha,unlogged,
Phyllanthaceae,Bridelia,cinnamomea,NA,50ha,unlogged,
Phyllanthaceae,Bridelia,insulana,NA,"50ha, CP",both,
Malvaceae,Brownlowia,peltata,Unlogged,"50ha, CP, IF",both,
Malvaceae,Brownlowia,stipulata,NA,"50ha, CP",both,
Anacardiaceae,Buchanania,arborescens,NA,50ha,unlogged,
Anacardiaceae,Buchanania,sessilifolia,Unlogged,"50ha, CP, IF",both,
Anacardiaceae,Buchanania,unknown mixed,NA,50ha,unlogged,
Lamiaceae,Callicarpa,longifolia,NA,50ha,unlogged,
Lamiaceae,Callicarpa,pentandra,NA,"50ha, CP",both,
Lamiaceae,Callicarpa,unknown mixed,NA,CP,logged,
Calophyllaceae,Calophyllum,blancoi,NA,"50ha, CP",both,
Calophyllaceae,Calophyllum,gracilipes,NA,"50ha, CP",both,
Calophyllaceae,Calophyllum,pulcherrimum,NA,50ha,unlogged,
Calophyllaceae,Calophyllum,soulattri,NA,"50ha, CP",both,
Clusiaceae,Calophyllum,species 1,NA,50ha,unlogged,
Clusiaceae,Calophyllum,species 2,NA,50ha,unlogged,
Calophyllaceae,Calophyllaceae,venulosum,NA,50ha,unlogged,
Annonaceae,Cananga,odorata,NA,50ha,unlogged,
Burseraceae,Canarium,decumanum,NA,CP,logged,
Burseraceae,Canarium,denticulatum,ActiveRestoration,"CP, IF",logged,
Burseraceae,Canarium,odontophyllum,NA,CP,logged,
Burseraceae,Canarium,unknown mixed,NA,CP,logged,
Rhizophoraceae,Carallia,borneensis,NA,50ha,unlogged,
Rhizophoraceae,Carallia,species 1,NA,50ha,unlogged,
Lauraceae,Caryodaphnopsis,tonkinensis,NA,"50ha, CP",both,
Salicaceae,Casearia,grewiifolia,NA,"50ha, CP",both,
Fagaceae,Castanopsis,hypophoenicea,NA,"50ha, CP",both,
Fagaceae,Castanopsis,motleyana,NA,CP,logged,
Fagaceae,Castanopsis,unknown mixed,NA,50ha,unlogged,
Oleaceae,Chionanthus,curvicarpus,NA,50ha,unlogged,
Oleaceae,Chionanthus,macrocarpus,NA,50ha,unlogged,
Oleaceae,Chionanthus,pluriflorus,NA,"50ha, CP",both,
Oleaceae,Chionanthus,unknown mixed,NA,"50ha, CP",both,
Meliaceae,Chisocheton,ceramicus,NA,50ha,unlogged,
Meliaceae,Chisocheton,macranthus,NA,"50ha, CP",both,
Meliaceae,Chisocheton,patens,NA,"50ha, CP",both,
Meliaceae,Chisocheton,pentandrus,NA,"50ha, CP",both,
Meliaceae,Chisocheton,polyandrus,NA,50ha,unlogged,
Meliaceae,Chisocheton,sarawakanus,NA,"50ha, CP",both,
Meliaceae,Chisocheton,unknown mixed,NA,"50ha, CP",both,
Lauraceae,Cinnamomum,iners,NA,"50ha, CP",both,
Lauraceae,Cinnamomum,racemosum,NA,50ha,unlogged,
Lauraceae,Cinnamomum,unknown mixed,NA,"50ha, CP",both,
Rutaceae,Clausena,excavata,NA,"50ha, CP",both,
Rutaceae,Clausena,unknown,NA,50ha,unlogged,
Phyllanthaceae,Cleistanthus,hirsutulus,NA,"50ha, CP",both,
Phyllanthaceae,Cleistanthus,oblongifolius,NA,CP,logged,
Phyllanthaceae,Cleistanthus,podopyxis,NA,"50ha, CP",both,
Phyllanthaceae,Cleistanthus,species 2,NA,50ha,unlogged,
Phyllanthaceae,Cleistanthus,unknown mixed,NA,"50ha, CP",both,
Malvaceae,Coelostegia,borneensis,NA,"50ha, CP",both,
Rubiaceae,Cowiea,borneensis,NA,50ha,unlogged,
Capparaceae,Crateva,magna,NA,50ha,unlogged,
Hypericaceae,Cratoxylum,cochinchinense,NA,50ha,unlogged,
Hypericaceae,Cratoxylum,unknown mixed,NA,CP,logged,
Euphorbiaceae,Croton,argyratus,NA,CP,logged,
Euphorbiaceae,Croton,oblongus,NA,50ha,unlogged,
Euphorbiaceae,Croton,unknown mixed,NA,50ha,unlogged,
Fabacea,Crudia,bantamensis,NA,50ha,unlogged,
Fabaceae,Crudia,tenuipes,NA,"50ha, CP",both,
Fabaceae,Crudia,unknown mixed,NA,CP,logged,
Crypteroniaceae,Crypteronia,rubiflora,NA,50ha,unlogged,
Lauraceae,Cryptocarya,ferrea,NA,"50ha, CP",both,
Lauraceae,Cryptocarya,pulchrinervia,NA,"50ha, CP",both,
Lauraceae,Cryptocarya,strictifolia,NA,CP,logged,
Lauraceae,Cryptocarya,teysmanniana,NA,50ha,unlogged,
Lauraceae,Cryptocarya,unknown mixed,NA,CP,logged,
Annonaceae,Cyathocalyx,magnifructus,NA,"50ha, CP",both,
Fabaceae,Cynometra,elmeri,NA,50ha,unlogged,
Fabaceae,Cynometra,mirabilis,NA,"50ha, CP",both,
Burseraceae,Dacryodes,laxa,NA,50ha,unlogged,
Burseraceae,Dacryodes,rostrata,NA,"50ha, CP",both,
Burseraceae,Dacryodes,rugosa,NA,"50ha, CP",both,
Burseraceae,Dacryodes,species 1,NA,50ha,unlogged,
Burseraceae,Dacryodes,unknown mixed,NA,CP,logged,
Myrtaceae,Decaspermum,parviflorum,NA,50ha,unlogged,
Lauraceae,Dehaasia,caesia,NA,"50ha, CP",both,
Lauraceae,Dehaasia,gigantocarpa,NA,50ha,unlogged,
Lauraceae,Dehaasia,incrassata,NA,"50ha, CP",both,
Lauraceae,Dehaasia,unknown mixed,NA,"50ha, CP",both,
Urticaceae,Dendrocnide,elliptica,NA,"50ha, CP",both,
Urticaceae,Dendrocnide,stimulans,NA,50ha,unlogged,
Urticaceae,Dendrocnide,unknown mixed,NA,"50ha, CP",both,
Fabaceae,Dialium,indum,NA,50ha,unlogged,
Fabaceae,Dialium,unknown mixed,NA,50ha,unlogged,
Dilleniaceae,Dillenia,borneensis,NA,50ha,unlogged,
Dilleniaceae,Dillenia,excelsa,NA,"50ha, CP",both,
Dilleniaceae,Dillenia,species 1,NA,"50ha, CP",both,
Sapindaceae,Dimocarpus,dentatus,Unlogged,"50ha, CP, IF",both,
Sapindaceae,Dimocarpus,fumatus,NA,50ha,unlogged,
Sapindaceae,Dimocarpus,longan,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both,
Euphorbiaceae,Tritaxis,denticulata,NA,"50ha, CP",both,
