"species","mean_dry_seed_mass_BIEN","trait","unit","level_used","sample_size","ids"
"Acranthera frutescens","59.1893790915751","seed mass","mg","Family","546","3957757,3958973,3959495,3959162,3959327,3959639,3959850,3960017,3960274,3960438,3960450,3960637,3960643,3960467,3960471,3960486,3960534,3961828,3961890,3960761,3960667,3960791,3960682,3960737,3962263,3962455,3960859,3960773,3960786,3960799,3960804,3960812,3960825,3960844,3960846,3960852,3960864,3960873,3960880,4406595,4413917,4413918,4430158,4430173,4430179,4430180,4430181,4430182,4430183,4430186,4418157,4428409,4429692,4430161,4430165,4428738,26874379,26874380,26874381,26874382,26874383,26874384,26874385,26874387,26874388,26874390,26874392,26874393,26874394,26874396,26874397,26874398,26874399,26874400,26874401,26874402,26874405,26874406,26874407,26874408,26874409,26874410,26874411,26874412,26874413,26874414,26874415,26874416,26874417,26874418,26874419,26874420,26874743,26874744,26874745,26874746,26874747,26874750,26874751,26874752,26874753,26874756,26874757,26874758,26874759,26874760,26874763,26874764,26874765,26874766,26874768,26874770,26874771,26874772,26874774,26874775,26874777,26874778,26874780,26874781,26874782,26874784,26874786,26874787,26874788,26874789,26874792,26874793,26875060,26875061,26875062,26875063,26875064,26875065,26875067,26875069,26875070,26875073,26875074,26875075,26875076,26875077,26875079,26875080,26875082,26875083,26875085,26875086,26875088,26875090,26875092,26875093,3101375,3156834,3156903,3157017,3157155,3157156,3157974,3111575,3116556,3117469,3119649,3135812,3383712,3377761,3389331,3391549,3239551,3239536,3239549,3241596,3251412,3255233,3374010,3372135,3378190,3896305,3902789,3907811,3907816,3909403,3919080,3919143,3919162,3919769,3919779,3919800,3921166,3945039,3945613,3945767,3951395,3870179,3872712,3872713,3874374,3876649,3876651,3876678,3877065,3877075,3881557,3192291,4406238,4406631,4406635,3868132,3873633,3873724,3873522,3873534,3873539,3873935,3873544,3873552,3873841,3873871,3873666,3873925,3873754,3873764,3873792,3873938,3873851,3873899,3873906,3873911,3873918,3873923,3873942,3873951,3873953,3874146,3874065,3874140,3874150,3874763,3874832,3875347,3876145,3876488,3876672,3876682,3876683,3876684,3881847,3881876,3881877,3881878,3886107,3886531,3885871,3886583,3887223,3887055,3887081,3887083,3887188,3888403,3888247,3888289,3888408,3888453,3889633,3892134,3892535,3891109,3892886,3893514,3893884,3893907,3899095,3899096,3895983,3895986,3896769,3896833,3896373,3897449,3899097,3899098,3899099,3899472,3900064,3900346,3900555,3900617,3900623,3902533,3898113,3909654,3909001,3908083,3910035,3910046,3910057,3910073,3910425,3907097,3907110,3908857,3908923,3909313,3909333,3909343,3909369,3909397,3909402,3909876,3919094,3919220,3919221,3919701,3919735,3919748,3919759,3919816,3919767,3919772,3919838,3919777,3919787,3919789,3919853,3919793,3919797,3919799,3919824,3919840,3919857,3919863,3912371,3912596,3912804,3913035,3920690,3921090,3921128,3920923,3920948,3921063,3921066,3921089,3921106,3921164,3921187,3923424,3923473,3922776,3923700,3922860,3924951,3928143,3930323,3946456,3947186,3948672,3948716,3948725,3954375,3956886,3954614,3143700,3143744,3143759,3143785,3143787,3143792,3143796,3144453,3148105,3149919,3150720,3151995,3152318,3152352,3157932,3157988,3159131,3161229,3179151,3179154,3209547,3209551,3225827,3225868,3225963,3225980,3225992,3225999,3226083,3242824,3241229,3241582,3242637,3242136,3242137,3242500,3242516,3243026,3243439,3243493,3243631,3243823,3243826,3243834,3245992,3246054,3246053,3247211,3254643,3250545,3260342,3391544,3699272,3699476,3699542,3699620,3699673,3699681,3699693,3705650,3102967,3103034,3103893,3111691,3106276,3106275,3109264,3113263,3114553,3114606,3116488,3116882,3117449,3117450,3117459,3117522,3117533,3117534,3118349,3118376,3120946,3118371,3119118,3127201,3124420,3127202,3127203,3127070,3127072,3127101,3127102,3127118,3127120,3127189,3127195,3127205,3127206,3127208,3127209,3127212,3127219,3127221,3127226,3127234,3127236,3127241,3127242,3127246,3127259,3127260,3127264,3127266,3127268,3127269,3127271,3127308,3127287,3127291,3127293,3127296,3127297,3127313,3127317,3127319,3127322,3127333,3127339,3127340,3127343,3127355,3127356,3126984,3126999,3127010,3127013,3127015,3127018,3127058,3127059,3127963,3130233,3130709,3130506,3131101,3131337,3131383,3131510,3131937,3131946,3132070,3132071,3131605,3132596,3132647,3132650,3133231,3135336,3135348,3135361,3135514,3135693,3135580,3135813,3135058,3136730,3136737,3136747,3136748,3136324,3136590,3137370,3137809,3137935,3138002,3140335,3140459,3140481,3140489,3143394,3143424,3143438,3143873,3143902"
"Acranthera velutinervia","59.1893790915751","seed mass","mg","Family","546","3957757,3958973,3959495,3959162,3959327,3959639,3959850,3960017,3960274,3960438,3960450,3960637,3960643,3960467,3960471,3960486,3960534,3961828,3961890,3960761,3960667,3960791,3960682,3960737,3962263,3962455,3960859,3960773,3960786,3960799,3960804,3960812,3960825,3960844,3960846,3960852,3960864,3960873,3960880,4406595,4413917,4413918,4430158,4430173,4430179,4430180,4430181,4430182,4430183,4430186,4418157,4428409,4429692,4430161,4430165,4428738,26874379,26874380,26874381,26874382,26874383,26874384,26874385,26874387,26874388,26874390,26874392,26874393,26874394,26874396,26874397,26874398,26874399,26874400,26874401,26874402,26874405,26874406,26874407,26874408,26874409,26874410,26874411,26874412,26874413,26874414,26874415,26874416,26874417,26874418,26874419,26874420,26874743,26874744,26874745,26874746,26874747,26874750,26874751,26874752,26874753,26874756,26874757,26874758,26874759,26874760,26874763,26874764,26874765,26874766,26874768,26874770,26874771,26874772,26874774,26874775,26874777,26874778,26874780,26874781,26874782,26874784,26874786,26874787,26874788,26874789,26874792,26874793,26875060,26875061,26875062,26875063,26875064,26875065,26875067,26875069,26875070,26875073,26875074,26875075,26875076,26875077,26875079,26875080,26875082,26875083,26875085,26875086,26875088,26875090,26875092,26875093,3101375,3156834,3156903,3157017,3157155,3157156,3157974,3111575,3116556,3117469,3119649,3135812,3383712,3377761,3389331,3391549,3239551,3239536,3239549,3241596,3251412,3255233,3374010,3372135,3378190,3896305,3902789,3907811,3907816,3909403,3919080,3919143,3919162,3919769,3919779,3919800,3921166,3945039,3945613,3945767,3951395,3870179,3872712,3872713,3874374,3876649,3876651,3876678,3877065,3877075,3881557,3192291,4406238,4406631,4406635,3868132,3873633,3873724,3873522,3873534,3873539,3873935,3873544,3873552,3873841,3873871,3873666,3873925,3873754,3873764,3873792,3873938,3873851,3873899,3873906,3873911,3873918,3873923,3873942,3873951,3873953,3874146,3874065,3874140,3874150,3874763,3874832,3875347,3876145,3876488,3876672,3876682,3876683,3876684,3881847,3881876,3881877,3881878,3886107,3886531,3885871,3886583,3887223,3887055,3887081,3887083,3887188,3888403,3888247,3888289,3888408,3888453,3889633,3892134,3892535,3891109,3892886,3893514,3893884,3893907,3899095,3899096,3895983,3895986,3896769,3896833,3896373,3897449,3899097,3899098,3899099,3899472,3900064,3900346,3900555,3900617,3900623,3902533,3898113,3909654,3909001,3908083,3910035,3910046,3910057,3910073,3910425,3907097,3907110,3908857,3908923,3909313,3909333,3909343,3909369,3909397,3909402,3909876,3919094,3919220,3919221,3919701,3919735,3919748,3919759,3919816,3919767,3919772,3919838,3919777,3919787,3919789,3919853,3919793,3919797,3919799,3919824,3919840,3919857,3919863,3912371,3912596,3912804,3913035,3920690,3921090,3921128,3920923,3920948,3921063,3921066,3921089,3921106,3921164,3921187,3923424,3923473,3922776,3923700,3922860,3924951,3928143,3930323,3946456,3947186,3948672,3948716,3948725,3954375,3956886,3954614,3143700,3143744,3143759,3143785,3143787,3143792,3143796,3144453,3148105,3149919,3150720,3151995,3152318,3152352,3157932,3157988,3159131,3161229,3179151,3179154,3209547,3209551,3225827,3225868,3225963,3225980,3225992,3225999,3226083,3242824,3241229,3241582,3242637,3242136,3242137,3242500,3242516,3243026,3243439,3243493,3243631,3243823,3243826,3243834,3245992,3246054,3246053,3247211,3254643,3250545,3260342,3391544,3699272,3699476,3699542,3699620,3699673,3699681,3699693,3705650,3102967,3103034,3103893,3111691,3106276,3106275,3109264,3113263,3114553,3114606,3116488,3116882,3117449,3117450,3117459,3117522,3117533,3117534,3118349,3118376,3120946,3118371,3119118,3127201,3124420,3127202,3127203,3127070,3127072,3127101,3127102,3127118,3127120,3127189,3127195,3127205,3127206,3127208,3127209,3127212,3127219,3127221,3127226,3127234,3127236,3127241,3127242,3127246,3127259,3127260,3127264,3127266,3127268,3127269,3127271,3127308,3127287,3127291,3127293,3127296,3127297,3127313,3127317,3127319,3127322,3127333,3127339,3127340,3127343,3127355,3127356,3126984,3126999,3127010,3127013,3127015,3127018,3127058,3127059,3127963,3130233,3130709,3130506,3131101,3131337,3131383,3131510,3131937,3131946,3132070,3132071,3131605,3132596,3132647,3132650,3133231,3135336,3135348,3135361,3135514,3135693,3135580,3135813,3135058,3136730,3136737,3136747,3136748,3136324,3136590,3137370,3137809,3137935,3138002,3140335,3140459,3140481,3140489,3143394,3143424,3143438,3143873,3143902"
"Actinodaphne borneensis","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Actinodaphne glomerata","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Actinodaphne macrophylla","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Actinodaphne pruinosa","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Actinodaphne species 1","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Actinodaphne unknown<a0>mixed","1244.48787274336","seed mass","mg","Family","113","3958288,3958521,3958515,3958518,3958571,3958588,3962542,4405332,4413832,4413833,4427563,3893992,3894032,3894120,3894134,3894144,3894596,3894793,3894859,3894921,3894991,3950612,3958626,3885176,4427565,3881290,3883398,3883826,3884946,3885388,3885375,3885408,3885409,3887124,3887706,3894080,3894816,3894959,3898713,3900069,3900742,3901615,3901620,3902466,3897746,3897763,3902917,3903020,3903046,3903054,3924197,3924232,3924207,3931031,3932205,3936487,3954171,3955354,3955526,3955915,3955926,3955930,3955934,3956023,3955394,3150492,3153301,3153302,3201576,3201670,3240252,3241909,3241787,3242931,3245802,3248074,3260153,3401658,14595,3103088,3116694,3120896,3122933,3122956,3127494,3128574,3128612,3129770,3129804,3129805,3129810,3129811,3129474,3129477,3129567,3131436,3133412,3133481,3133463,3133483,3135956,3137114,3138529,3141910,3142016,3142801,3143313,3143324,3143356,3143002,3143119,3143121,3143143"
"Adenanthera kostermansii","137.12","seed mass","mg","Genus","10","3943602,3943886,3184548,3116840,3126419,3126423,3126424,3139022,3139051,3139115"
"Adenanthera malayana","137.12","seed mass","mg","Genus","10","3943602,3943886,3184548,3116840,3126419,3126423,3126424,3139022,3139051,3139115"
