"","binomial_name","family.x","genus.x","species.x","history_at_INDFORSUS_site","species_origin","logging_status","comment"
"1","Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,"50ha","unlogged",NA
"2","Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,"50ha","unlogged","X"
"3","Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",NA,"50ha","unlogged",""
"4","Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",NA,"50ha","unlogged",""
"5","Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",NA,"50ha","unlogged",""
"6","Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,"50ha","unlogged",""
"7","Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,"50ha","unlogged",""
"8","Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"50ha, CP","both",""
"9","Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"50ha, CP","both","X"
"10","Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"50ha, CP","both","X"
"11","Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"CP","logged",NA
"12","Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"50ha, CP","both",""
"13","Aglaia argentea","Meliaceae","Aglaia","argentea",NA,"50ha, CP","both","E00206434"
"14","Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,"50ha","unlogged",""
"15","Aglaia edulis","Meliaceae","Aglaia","edulis",NA,"50ha","unlogged","E00206455,E00161860"
"16","Aglaia elliptica","Meliaceae","Aglaia","elliptica",NA,"50ha","unlogged","1NO BC"
"17","Aglaia grandis","Meliaceae","Aglaia","grandis",NA,"50ha","unlogged",""
"18","Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",NA,"50ha","unlogged",""
"19","Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",NA,"50ha","unlogged","E00160417"
"20","Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",NA,"50ha, CP","both","E00167292"
"21","Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,"50ha","unlogged","E00071580"
"22","Aglaia silvestris","Meliaceae","Aglaia","silvestris",NA,"50ha, CP","both",""
"23","Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",NA,"50ha, CP","both","E00206458"
"24","Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",NA,"50ha, CP","both",""
"25","Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"50ha, CP","both",""
"26","Alangium javanicum","Cornaceae","Alangium","javanicum","Unlogged","50ha, CP, IF","both",""
"27","Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,"50ha","unlogged","NO BC"
"28","Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",NA,"50ha","unlogged",""
"29","Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"50ha, CP","both",""
"30","Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",NA,"50ha, CP","both",""
"31","Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,"50ha","unlogged",NA
"32","Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,"50ha","unlogged","GENUS INDET E00016912"
"33","Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",NA,"50ha","unlogged","E00304742"
"34","Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"50ha, CP","both",NA
"35","Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",NA,"50ha, CP","both","E00166684"
"36","Antiaris toxicaria","Moraceae","Antiaris","toxicaria",NA,"50ha","unlogged","NO BC "
"37","Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,"50ha","unlogged","E00196804"
"38","Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,"50ha","unlogged",""
"39","Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1",NA,"CP","logged",NA
"40","Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,"50ha","unlogged",NA
"41","Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"50ha, CP","both",""
"42","Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,"50ha","unlogged",""
"43","Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,"50ha","unlogged",""
"44","Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",NA,"CP","logged",NA
"45","Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",NA,"CP","logged",NA
"46","Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"CP","logged",NA
"47","Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",NA,"CP","logged",NA
"48","Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"CP","logged",NA
"49","Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"CP","logged",NA
