"binomial_name","Family","Genus","Species","species_origin","logging_status"
"Acranthera multiflora","Rubiaceae","Acranthera","multiflora","50ha","unlogged"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","50ha","unlogged"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","50ha","unlogged"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","50ha","unlogged"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","50ha","unlogged"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","50ha","unlogged"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","50ha","unlogged"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","50ha, CP","both"
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","50ha, CP","both"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","50ha, CP","both"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","CP","logged"
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","50ha, CP","both"
"Aglaia argentea","Meliaceae","Aglaia","argentea","50ha, CP","both"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","50ha","unlogged"
"Aglaia edulis","Meliaceae","Aglaia","edulis","50ha","unlogged"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","50ha","unlogged"
"Aglaia grandis","Meliaceae","Aglaia","grandis","50ha","unlogged"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","50ha","unlogged"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","50ha","unlogged"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","50ha, CP","both"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","50ha","unlogged"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","50ha, CP","both"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","50ha, CP","both"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","50ha, CP","both"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","50ha, CP","both"
"Alangium javanicum","Alangiaceae","Alangium","javanicum","50ha, CP","both"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe","50ha","unlogged"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana","50ha","unlogged"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","50ha, CP","both"
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","50ha, CP","both"
"Alstonia iwagighensis","Apocynaceae","Alstonia","iwagighensis","50ha","unlogged"
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica","50ha","unlogged"
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana","50ha","unlogged"
"Anisophyllea cornerii","Anisophylleaceae","Anisophyllea","cornerii","50ha, CP","both"
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","50ha, CP","both"
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria","50ha","unlogged"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum","50ha","unlogged"
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum","50ha","unlogged"
"Antidesma species 1","Phyllanthaceae","Antidesma","species 1","CP","logged"
"Antidesma tomentosum","Phyllanthaceae","Antidesma","tomentosum","50ha","unlogged"
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed","50ha, CP","both"
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis","50ha","unlogged"
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed","50ha","unlogged"
"Aporusa elmeri","Phyllanthaceae","Aporusa","elmeri","CP","logged"
"Aporusa falcifera","Phyllanthaceae","Aporusa","falcifera","CP","logged"
"Aporusa frutescens","Phyllanthaceae","Aporusa","frutescens","CP","logged"
"Aporusa grandistipula","Phyllanthaceae","Aporusa","grandistipula","CP","logged"
"Aporusa illustris","Phyllanthaceae","Aporusa","illustris","CP","logged"
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed","CP","logged"
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana","50ha","unlogged"
"Archidendron microcarpum","Fabaceae-mimosoideae","Archidendron","microcarpum","50ha","unlogged"
"Archidendron unknown mixed","Fabaceae-mimosoideae","Archidendron","unknown mixed","50ha","unlogged"
"Ardisia  colorata","Primulaceae","Ardisia ","colorata","CP","logged"
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla","CP","logged"
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed","CP","logged"
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus","50ha, CP","both"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus","CP","logged"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus","CP","logged"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed","CP","logged"
"Atuna racemosa","Chrysobalanaceae","Atuna","racemosa","CP","logged"
