"binomial_name","Family","Genus","Species","history","species_origin","logging_status"
"Acranthera multiflora","Rubiaceae","Acranthera","multiflora","NA","50ha","unlogged"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","NA","50ha","unlogged"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","NA","50ha","unlogged"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","NA","50ha","unlogged"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","NA","50ha","unlogged"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","NA","50ha","unlogged"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","NA","50ha","unlogged"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","NA","50ha, CP","both"
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","NA","50ha, CP","both"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","NA","50ha, CP","both"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","NA","CP","logged"
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","NA","50ha, CP","both"
"Aglaia argentea","Meliaceae","Aglaia","argentea","NA","50ha, CP","both"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","NA","50ha","unlogged"
"Aglaia edulis","Meliaceae","Aglaia","edulis","NA","50ha","unlogged"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","NA","50ha","unlogged"
"Aglaia grandis","Meliaceae","Aglaia","grandis","NA","50ha","unlogged"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","NA","50ha","unlogged"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","NA","50ha","unlogged"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","NA","50ha, CP","both"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","NA","50ha","unlogged"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","NA","50ha, CP","both"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","NA","50ha, CP","both"
