"binomial_name","family","genus","species","species_origin.x","logging_status.x","history_at_IF_site.x","history_at_CP_site.x","flower_colour","dispersal_syndrome","fruit_size_mm","fruit_size_min_mm","seed_length_mm","mean_dry_seed_mass_mg","mean_wood_density_g_cm_3","flowering_at_size_class"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens","50ha","unlogged",NA,NA,"",NA,NA,NA,7.3621533880597,59.1893790915751,NA,NA
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","50ha","unlogged",NA,NA,"",NA,NA,NA,7.3621533880597,59.1893790915751,NA,NA
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,0.5,NA
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,0.41,NA
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,0.59,NA
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,NA,NA
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,NA,NA
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","CP, 50ha","both",NA,"no seedling data, AR, NR","",NA,NA,NA,NA,NA,NA,NA
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","CP, 50ha","both",NA,"AR, NR","yellow_white",NA,NA,NA,25.9101628865979,137.12,NA,NA
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","CP, 50ha","both",NA,"AR","yellow_white",NA,NA,NA,25.9101628865979,137.12,NA,NA
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","CP","logged",NA,"NR","",NA,NA,NA,NA,NA,NA,NA
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","CP, 50ha","both",NA,"AR","",NA,NA,NA,9.17797857142857,924.6375,NA,NA
"Aglaia argentea","Meliaceae","Aglaia","argentea","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,9.17797857142857,924.6375,0.63,NA
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,NA,NA
"Aglaia edulis","Meliaceae","Aglaia","edulis","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,0.71,NA
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,0.66,NA
"Aglaia grandis","Meliaceae","Aglaia","grandis","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,0.68,NA
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,0.67,NA
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,0.56,NA
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,9.17797857142857,924.6375,0.71,NA
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","50ha","unlogged",NA,NA,"",NA,NA,NA,9.17797857142857,924.6375,NA,NA
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,9.17797857142857,924.6375,0.67,NA
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,9.17797857142857,924.6375,0.58,NA
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,9.17797857142857,298,0.7,NA
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","CP, 50ha","both",NA,"AR, NR, no seedling data","",NA,NA,NA,NA,NA,NA,NA
"Alangium javanicum","Cornaceae","Alangium","javanicum","CP, 50ha","both",NA,"AR, NR","",NA,NA,NA,7.8,75,0.75,NA
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe","50ha","unlogged",NA,NA,"","unassisted, animal",NA,NA,8.360909,40.96,0.45,NA
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana","50ha","unlogged",NA,NA,"",NA,NA,NA,13.1101518518519,1244.48787274336,0.59,NA
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","CP, 50ha","both",NA,"AR","",NA,NA,NA,NA,NA,NA,NA
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","CP, 50ha","both",NA,"NR, AR","",NA,NA,NA,10.4306363636364,6.28333333333333,0.61,NA
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis","50ha","unlogged",NA,NA,"",NA,NA,NA,10.4306363636364,6.28333333333333,NA,NA
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica","50ha","unlogged",NA,NA,"",NA,NA,NA,16.6527142857143,61.56,NA,NA
"Angelesia splendens","Chrysobalanaceae","Angelesia","splendens","50ha","unlogged",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana","50ha","unlogged",NA,NA,"",NA,NA,NA,18.891,NA,0.67,NA
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","CP, 50ha","both",NA,"NR, AR","",NA,NA,NA,18.891,NA,NA,NA
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","CP, 50ha","both",NA,"AR","","wind",NA,NA,NA,685,0.6,NA
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae","CP, 50ha","both",NA,"NR, AR","",NA,NA,NA,NA,NA,NA,NA
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii","50ha","unlogged",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria","50ha","unlogged",NA,NA,"green",NA,NA,NA,7.3,1019.3,0.4,NA
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum","50ha","unlogged",NA,NA,"",NA,NA,NA,3.949,18.0333333333333,NA,NA
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum","50ha","unlogged",NA,NA,"",NA,NA,NA,3.949,18.0333333333333,NA,NA
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii","50ha","unlogged",NA,NA,"",NA,NA,NA,3.949,18.0333333333333,NA,NA
