"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","dispersal_syndrome","Reference"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,NA,"50ha","unlogged",NA,NA
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,NA,"50ha","unlogged",NA,NA
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"no seedling data, AR, NR","CP, 50ha","both",NA,NA
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"AR, NR","CP, 50ha","both",NA,NA
"Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"AR","CP, 50ha","both",NA,NA
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"NR","CP","logged",NA,NA
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"AR","CP, 50ha","both",NA,NA
"Aglaia argentea","Meliaceae","Aglaia","argentea",NA,"AR, NR","CP, 50ha","both",NA,NA
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,NA,"50ha","unlogged",NA,NA
"Aglaia edulis","Meliaceae","Aglaia","edulis",NA,NA,"50ha","unlogged",NA,NA
"Aglaia elliptica","Meliaceae","Aglaia","elliptica",NA,NA,"50ha","unlogged",NA,NA
"Aglaia grandis","Meliaceae","Aglaia","grandis",NA,NA,"50ha","unlogged",NA,NA
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",NA,NA,"50ha","unlogged",NA,NA
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",NA,NA,"50ha","unlogged",NA,NA
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",NA,"AR, NR","CP, 50ha","both",NA,NA
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,NA,"50ha","unlogged",NA,NA
"Aglaia silvestris","Meliaceae","Aglaia","silvestris",NA,"AR, NR","CP, 50ha","both",NA,NA
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",NA,"AR, NR","CP, 50ha","both",NA,NA
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",NA,"AR, NR","CP, 50ha","both",NA,NA
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"AR, NR, no seedling data","CP, 50ha","both",NA,NA
"Alangium javanicum","Cornaceae","Alangium","javanicum",NA,"AR, NR","CP, 50ha","both",NA,NA
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,NA,"50ha","unlogged","unassisted","Giroldo, Aelton (2016) Pequenas plantas, grandes estrategias: adaptacoes e sobrevivencia no Cerrado. PhD Thesis University of Brasilia. DOI: 10.13140/RG.2.2.34455.16800"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,NA,"50ha","unlogged","animal","Giroldo, Aelton (2016) Pequenas plantas, grandes estrategias: adaptacoes e sobrevivencia no Cerrado. PhD Thesis University of Brasilia. DOI: 10.13140/RG.2.2.34455.16800"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",NA,NA,"50ha","unlogged",NA,NA
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"AR","CP, 50ha","both",NA,NA
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",NA,"NR, AR","CP, 50ha","both",NA,NA
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,NA,"50ha","unlogged",NA,NA
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,NA,"50ha","unlogged",NA,NA
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",NA,NA,"50ha","unlogged",NA,NA
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"NR, AR","CP, 50ha","both",NA,NA
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",NA,"AR","CP, 50ha","both","wind","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)."
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria",NA,NA,"50ha","unlogged",NA,NA
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,NA,"50ha","unlogged",NA,NA
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,NA,"50ha","unlogged",NA,NA
"Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1",NA,"NR","CP","logged",NA,NA
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,NA,"50ha","unlogged",NA,NA
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"AR","CP, 50ha","both",NA,NA
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",NA,"AR, NR","CP","logged",NA,NA
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",NA,"AR, NR","CP","logged",NA,NA
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"AR, NR","CP","logged",NA,NA
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",NA,"AR, NR","CP","logged",NA,NA
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"NR, AR","CP","logged",NA,NA
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"NR, AR","CP","logged",NA,NA
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,NA,"50ha","unlogged",NA,NA
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,NA,"50ha","unlogged","animal","Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)."
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA,NA,NA
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA,NA,NA
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"AR","CP","logged",NA,NA
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",NA,"NR","CP, 50ha","both",NA,NA
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus",NA,"NR","CP","logged",NA,NA
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",NA,"AR","CP","logged",NA,NA
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"AR","CP","logged",NA,NA
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"NR","CP","logged",NA,NA
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",NA,"AR","CP, 50ha","both",NA,NA
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,NA,"50ha","unlogged",NA,NA
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"AR, NR","CP, 50ha","both",NA,NA
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"no seedling data","CP, 50ha","both",NA,NA
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,NA,"50ha","unlogged",NA,NA
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,NA,"50ha","unlogged",NA,NA
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"AR, NR","CP, 50ha","both",NA,NA
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"AR, NR","CP, 50ha","both",NA,NA
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"AR, NR","CP, 50ha","both",NA,NA
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",NA,"AR, NR","CP, 50ha","both",NA,NA
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,NA,"50ha","unlogged",NA,NA
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",NA,NA,"50ha","unlogged",NA,NA
"Beilschmiedia","Lauraceae","Beilschmiedia","",NA,"NR","CP, 50ha","both",NA,NA
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",NA,"AR, NR","CP, 50ha","both",NA,NA
