"binomial_name","family","genus","species","species_origin","logging_status","flower_colour","flower_colour_reference"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens","50ha","unlogged","",NA
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","50ha","unlogged","",NA
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","50ha","unlogged","",NA
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","50ha","unlogged","",NA
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","50ha","unlogged","",NA
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","50ha","unlogged","",NA
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","50ha","unlogged","",NA
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","CP, 50ha","both","",NA
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","CP, 50ha","both","yellow_white","Nielsen 1992"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","CP, 50ha","both","yellow_white","Nielsen 1992"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","CP","logged","",NA
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","CP, 50ha","both","",NA
"Aglaia argentea","Meliaceae","Aglaia","argentea","CP, 50ha","both","",NA
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","50ha","unlogged","",NA
"Aglaia edulis","Meliaceae","Aglaia","edulis","50ha","unlogged","",NA
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","50ha","unlogged","",NA
"Aglaia grandis","Meliaceae","Aglaia","grandis","50ha","unlogged","",NA
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","50ha","unlogged","",NA
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","50ha","unlogged","",NA
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","CP, 50ha","both","",NA
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","50ha","unlogged","",NA
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","CP, 50ha","both","",NA
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","CP, 50ha","both","",NA
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","CP, 50ha","both","",NA
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","CP, 50ha","both","",NA
"Alangium javanicum","Cornaceae","Alangium","javanicum","CP, 50ha","both","",NA
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe","50ha","unlogged","",NA
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana","50ha","unlogged","",NA
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","CP, 50ha","both","",NA
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","CP, 50ha","both","",NA
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis","50ha","unlogged","",NA
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica","50ha","unlogged","",NA
"Angelesia splendens","Chrysobalanaceae","Angelesia","splendens","50ha","unlogged","",NA
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana","50ha","unlogged","",NA
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","CP, 50ha","both","",NA
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","CP, 50ha","both","",NA
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae","CP, 50ha","both","",NA
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii","50ha","unlogged","",NA
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria","50ha","unlogged","green","Dressler S, M Schmidt, G Zizka (2014) Introducing African Plants—A Photo Guide—An Interactive Photo Data-Base and Rapid Identification Tool for Continental Africa. Taxon 63(5) 1159-1161 DOI: http://dx.doi.org/10.12705/635.26"
