"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","fruit_size_mm","fruit_size_min_mm","fruit_size_reference"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens","50ha","unlogged",NA,NA,NA,NA,NA
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","CP, 50ha","both",NA,"no seedling data, AR, NR",NA,NA,NA
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","CP, 50ha","both",NA,"AR",NA,NA,NA
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","CP","logged",NA,"NR",NA,NA,NA
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","CP, 50ha","both",NA,"AR",NA,NA,NA
"Aglaia argentea","Meliaceae","Aglaia","argentea","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia edulis","Meliaceae","Aglaia","edulis","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia grandis","Meliaceae","Aglaia","grandis","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","50ha","unlogged",NA,NA,NA,NA,NA
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","CP, 50ha","both",NA,"AR, NR, no seedling data",NA,NA,NA
"Alangium javanicum","Cornaceae","Alangium","javanicum","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe","50ha","unlogged",NA,NA,NA,NA,NA
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana","50ha","unlogged",NA,NA,NA,NA,NA
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","CP, 50ha","both",NA,"AR",NA,NA,NA
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis","50ha","unlogged",NA,NA,NA,NA,NA
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica","50ha","unlogged",NA,NA,NA,NA,NA
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana","50ha","unlogged",NA,NA,NA,NA,NA
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","CP, 50ha","both",NA,"AR",NA,NA,NA
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria","50ha","unlogged",NA,NA,NA,NA,NA
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum","50ha","unlogged",NA,NA,NA,NA,NA
