"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","seed_length_mm","reference"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,NA,"50ha","unlogged",7.3621533880597,"BIEN"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,NA,"50ha","unlogged",7.3621533880597,"BIEN"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,NA,"50ha","unlogged",13.1101518518519,"BIEN"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"no seedling data, AR, NR","CP, 50ha","both",NA,"BIEN"
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"AR, NR","CP, 50ha","both",25.9101628865979,"BIEN"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"AR","CP, 50ha","both",25.9101628865979,"BIEN"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"NR","CP","logged",NA,"BIEN"
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"AR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia argentea","Meliaceae","Aglaia","argentea",NA,"AR, NR","CP, 50ha","both",9.17797857142857,"BIEN"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia edulis","Meliaceae","Aglaia","edulis",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia grandis","Meliaceae","Aglaia","grandis",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",NA,NA,"50ha","unlogged",9.17797857142857,"BIEN"
