"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","level_used","mean_dry_seed_mass_mg","reference_seed_mass"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens","50ha","unlogged",NA,NA,"Family",59.1893790915751,"BIEN"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia","50ha","unlogged",NA,NA,"Family",59.1893790915751,"BIEN"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","CP, 50ha","both",NA,"no seedling data, AR, NR",NA,NA,NA
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","CP, 50ha","both",NA,"AR, NR","Genus",137.12,"BIEN"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","CP, 50ha","both",NA,"AR","Genus",137.12,"BIEN"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","CP","logged",NA,"NR",NA,NA,NA
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","CP, 50ha","both",NA,"AR","Genus",924.6375,"BIEN"
"Aglaia argentea","Meliaceae","Aglaia","argentea","CP, 50ha","both",NA,"AR, NR","Genus",924.6375,"BIEN"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia edulis","Meliaceae","Aglaia","edulis","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia grandis","Meliaceae","Aglaia","grandis","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","CP, 50ha","both",NA,"AR, NR","Genus",924.6375,"BIEN"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla","50ha","unlogged",NA,NA,"Genus",924.6375,"BIEN"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","CP, 50ha","both",NA,"AR, NR","Genus",924.6375,"BIEN"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","CP, 50ha","both",NA,"AR, NR","Genus",924.6375,"BIEN"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","CP, 50ha","both",NA,"AR, NR","Species",298,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","CP, 50ha","both",NA,"AR, NR, no seedling data",NA,NA,NA
"Alangium javanicum","Cornaceae","Alangium","javanicum","CP, 50ha","both",NA,"AR, NR","Genus",75,"BIEN"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe","50ha","unlogged",NA,NA,"Species",40.96,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Schrader, J., Moeljono, S., Tambing, J., Sattler, C., Kreft, H. (2020) A new dataset on plant occurrences on small islands, including species abundances and functional traits across different spatial scales. Biodiversity Data Journal 8, e55275. doi: 10.3897/BDJ.8.e55275, Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana","50ha","unlogged",NA,NA,"Family",1244.48787274336,"BIEN"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","CP, 50ha","both",NA,"AR",NA,NA,NA
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","CP, 50ha","both",NA,"NR, AR","Genus",6.28333333333333,"BIEN"
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis","50ha","unlogged",NA,NA,"Genus",6.28333333333333,"BIEN"
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica","50ha","unlogged",NA,NA,"Genus",61.56,"BIEN"
"Angelesia splendens","Chrysobalanaceae","Angelesia","splendens","50ha","unlogged",NA,NA,"NA",NA,"BIEN"
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana","50ha","unlogged",NA,NA,"NA",NA,"BIEN"
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","CP, 50ha","both",NA,"NR, AR","NA",NA,"BIEN"
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata","CP, 50ha","both",NA,"AR","Species",685,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
