"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,"50ha","unlogged",NA,"Lambir dataset"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia argentea","Meliaceae","Aglaia","argentea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia edulis","Meliaceae","Aglaia","edulis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia grandis","Meliaceae","Aglaia","grandis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Alangium javanicum","Cornaceae","Alangium","javanicum","Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,"50ha","unlogged",NA,"Lambir dataset"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"50ha, CP","both",NA,"Lambir dataset"
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria",NA,"50ha","unlogged",NA,"Lambir dataset"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1",NA,"CP","logged",NA,"Lambir dataset"
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
