"binomial_name","family","genus","species","mean_wood_density_g_cm_3","species_origin","logging_status","history_at_IF_site","history_at_CP_site","reference_wood_density"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,"50ha","unlogged",NA,NA,""
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,"50ha","unlogged",NA,NA,""
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",0.5,"50ha","unlogged",NA,NA,"WDD, TRY"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",0.41,"50ha","unlogged",NA,NA,"WDD, TRY"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",0.59,"50ha","unlogged",NA,NA,"TRY"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,"50ha","unlogged",NA,NA,""
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,"50ha","unlogged",NA,NA,""
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"CP, 50ha","both",NA,"no seedling data, AR, NR",""
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"CP, 50ha","both",NA,"AR, NR",""
"Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"CP, 50ha","both",NA,"AR",""
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"CP","logged",NA,"NR",""
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"CP, 50ha","both",NA,"AR",""
"Aglaia argentea","Meliaceae","Aglaia","argentea",0.63,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,"50ha","unlogged",NA,NA,""
"Aglaia edulis","Meliaceae","Aglaia","edulis",0.71,"50ha","unlogged",NA,NA,"WDD, TRY"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica",0.66,"50ha","unlogged",NA,NA,"WDD, TRY"
"Aglaia grandis","Meliaceae","Aglaia","grandis",0.68,"50ha","unlogged",NA,NA,"WDD, TRY"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",0.67,"50ha","unlogged",NA,NA,"WDD, TRY"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",0.56,"50ha","unlogged",NA,NA,"WDD, TRY"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",0.71,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,"50ha","unlogged",NA,NA,""
"Aglaia silvestris","Meliaceae","Aglaia","silvestris",0.67,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",0.58,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",0.7,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR, no seedling data",""
"Alangium javanicum","Cornaceae","Alangium","javanicum",0.75,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",0.45,"50ha","unlogged",NA,NA,"WDD, TRY"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",0.59,"50ha","unlogged",NA,NA,"WDD, TRY"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",0.61,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,"50ha","unlogged",NA,NA,""
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,"50ha","unlogged",NA,NA,""
"Angelesia splendens","Chrysobalanaceae","Angelesia","splendens",NA,"50ha","unlogged",NA,NA,""
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",0.67,"50ha","unlogged",NA,NA,"WDD, TRY"
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"CP, 50ha","both",NA,"NR, AR",""
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",0.6,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae",NA,"CP, 50ha","both",NA,"NR, AR",""
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii",NA,"50ha","unlogged",NA,NA,""
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria",0.4,"50ha","unlogged",NA,NA,"WDD, TRY"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,"50ha","unlogged",NA,NA,""
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,"50ha","unlogged",NA,NA,""
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,"50ha","unlogged",NA,NA,""
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,"50ha","unlogged",NA,NA,""
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",0.6,"CP","logged",NA,"AR, NR","TRY"
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",0.56,"CP","logged",NA,"AR, NR","TRY"
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"CP","logged",NA,"AR, NR",""
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",0.22,"CP","logged",NA,"AR, NR","TRY"
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"CP","logged",NA,"NR, AR",""
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"CP","logged",NA,"NR, AR",""
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,"50ha","unlogged",NA,NA,""
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,"50ha","unlogged",NA,NA,""
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA,NA,""
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA,NA,""
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"CP","logged",NA,"AR",""
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",0.6,"CP, 50ha","both",NA,"NR","WDD, TRY"
