species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Dicliptera canescens,Fl. of Java 2,4,3.5,Java
Dicliptera clarkei,Leafl. Philipp. Bot. v. 1689 (1913),7.5,7.5,Philippines
Dicliptera javanica,Fl. of Java 2,4,4,Java
Dicliptera leonotis,Fl. of Java 2,4.5,4,Java
Rostellularia ardjunensis,Fl. of Java 2,7,7,Java
Rostellularia backeri,Fl. of Java 2,7,6,Java
Rostellularia lanceolata,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2, 45(2): 63 (1948)",6.5,1.9,Lesser Sundas
Rostellularia obtusa,Fl. of Java 2,5,4,Java
Rostellularia ovata,Fl. of Java 2,5.75,5.5,Java
Rostellularia ovata,Fl. of Java 2,5.75,5.5,Lesser Sundas
Rostellularia procumbens,Fl. of Java 2,5,4,Java
Rostellularia procumbens,Fl. of Java 2,5,4,Philippines
Rostellularia procumbens,Fl. of Java 2,5,4,Sulawesi
Rostellularia procumbens,Fl. of Java 2,5,4,Sumatra
Rostellularia smeruensis,Fl. of Java 2,10,9,Java
Rostellularia smeruensis,Fl. of Java 2,10,9,Lesser Sundas
Strobilanthes afriastiniae,Bennett & Scotland 2003,5,3.5,Java
Strobilanthes alata,Bennett & Scotland 2003,6,3,Java
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Java
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Lesser Sundas
Strobilanthes apoensis,Wood & Scotland 2009; Bennett & Scotland 2003,20,4,Philippines
Strobilanthes arborea,Bremekamp 1944,12.5,4,Lesser Sundas
Strobilanthes autapomorpha,Bennett & Scotland 2003,6,3,Java
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Lesser Sundas
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Java
Strobilanthes backeri,Bennett & Scotland 2003,4,2,Sulawesi
Strobilanthes bakeri,Deng 2019; Moylan et al. 2002,10.8,0.7,Philippines
Strobilanthes baracatanense,Deng 2019; Moylan et al. 2002,7.3,1.6,Philippines
Strobilanthes barisanensis,Wood & Scotland 2009; Bremekamp 1944,16,5,Sumatra
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Philippines
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Borneo
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Java
Strobilanthes blumeana,Deng 2019; Moylan et al. 2002,9.2,1,Sumatra
Strobilanthes bunnemeyeri,Wood & Scotland 2003 [panicled]; Bremekamp 1944,15,4.5,Sumatra
Strobilanthes calcicola,Wood et al. 2003,4,1.25,Sulawesi
Strobilanthes capillipes,Wood & Scotland 2003 [panicled]; Bremekamp 1944,15,3.5,Sumatra
Strobilanthes celebica,Wood & Scotland 2009; Bremekamp 1944,10,3,Sulawesi
Strobilanthes cernua,Bennett & Scotland 2003,5,3,Java
Strobilanthes cernua,Bennett & Scotland 2003,5,3,Sumatra
Strobilanthes coertii,Bennett & Scotland 2003,6,3,Java
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Philippines
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Java
Strobilanthes cumingiana,Moylan et al. 2002,9.3,1,Borneo
Strobilanthes diversifolia,Deng 2019,9,0.6,Philippines
Strobilanthes echinata,Bennett et al. 2008,18,12,Sumatra
Strobilanthes echinata,Bennett et al. 2008,18,12,Borneo
Strobilanthes elmeri,Deng 2019; Moylan et al. 2002,10,0.8,Philippines
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Java
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Lesser Sundas
Strobilanthes filiformis,Bennett & Scotland 2003,15,4,Sulawesi
Strobilanthes fruticulosa,Deng 2019; Moylan et al. 2002,8.9,0.7,Philippines
Strobilanthes fusca,Wood & Scotland 2009,11,1.75,Philippines
Strobilanthes glandulosa,Bennett & Scotland 2003,8,1.5,Java
Strobilanthes glandulosa,Bennett & Scotland 2003,8,1.5,Sumatra
Strobilanthes involucrata,Bennett & Scotland 2003,16,5,Java
Strobilanthes kjellbergii,Wood & Scotland 2009,12,2.5,Sulawesi
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,Philippines
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,New Guinea
Strobilanthes klossii,Deng 2019; Moylan et al. 2002,8.7,0.7,Maluku
Strobilanthes koordersii,Bennett & Scotland 2003,7,3,Java
Strobilanthes korthalsii,Wood & Scotland 2003 [2-lipped]; Bremekamp 1944,10,3.5,Sumatra
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,Philippines
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,Sulawesi
Strobilanthes linearifolia,Deng 2019; Moylan et al. 2002,9.6,1.1,New Guinea
Strobilanthes longipetiolata,Deng 2019; Moylan et al. 2002,6.1,0.7,Philippines
Strobilanthes longistaminea,Wood & Scotland 2009,3.5,1.25,Sulawesi
Strobilanthes moschifera,Bennett & Scotland 2003,10,1.5,Java
Strobilanthes murutorum,Wood & Scotland 2006,13,2,Borneo
Strobilanthes ovatifolia,Wood & Scotland 2003 [panicled],21,5,Sumatra
Strobilanthes pachyphylla,Moylan et al. 2002,11.5,1.5,Philippines
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Lesser Sundas
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Java
Strobilanthes paniculata,Bennett & Scotland 2003,9,3,Sumatra
Strobilanthes parabolica,Bennett & Scotland 2003,6,1.5,Java
Strobilanthes parabolica,Bennett & Scotland 2003,6,1.5,Sumatra
Strobilanthes pauciflora,Deng 2019; Moylan et al. 2002,7,0.9,Philippines
Strobilanthes pedunculosa,Wood & Scotland 2003 [panicled]; Bennett & Scotland 2003,21,21,Java
Strobilanthes pedunculosa,Wood & Scotland 2003 [panicled]; Bennett & Scotland 2003,21,21,Sumatra
Strobilanthes perplexa,Wood & Scotland 2003 [2-lipped],12,12,Sumatra
Strobilanthes polybotra,Wood & Scotland 2003 [panicled]; Bremekamp 1944,17,7,Sumatra
Strobilanthes ramosissima,Wood & Scotland 2003 [panicled],13,11.5,Sumatra
Strobilanthes repanda,Bennett & Scotland 2003,8,1.5,Java
Strobilanthes reptans,Moylan et al. 2002,8.5,1,Philippines
