"cnc","CBP","Crane","ORT","min_d","max_d"
"P19930419",146,0,50,"1993-04-19","1993-04-20"
"P19930503",203,0,51,"1993-05-03","1993-05-06"
"P19930517",403,0,51,"1993-05-17","1993-05-21"
"P19930530",404,0,50,"1993-05-30","1993-06-08"
"P19930613",405,0,51,"1993-06-13","1993-06-21"
"P19930628",405,0,51,"1993-06-28","1993-07-05"
"P19930712",405,0,51,"1993-07-12","1993-07-17"
"P19930726",405,0,0,"1993-07-26","1993-08-02"
"P19930809",403,0,51,"1993-08-09","1993-08-14"
"P19930823",403,0,51,"1993-08-23","1993-08-28"
"P19930906",404,0,51,"1993-09-06","1993-09-13"
"P19930920",404,0,51,"1993-09-20","1993-09-27"
"P19931005",404,0,51,"1993-10-05","1993-10-11"
"P19931020",404,0,51,"1993-10-20","1993-10-26"
"P19931101",404,0,51,"1993-11-01","1993-11-08"
"P19931117",400,0,51,"1993-11-17","1993-11-23"
"P19931130",400,0,51,"1993-11-30","1993-12-06"
"P19931213",400,0,51,"1993-12-13","1993-12-20"
"P19931228",400,0,51,"1993-12-28","1994-01-03"
"P19940110",400,0,51,"1994-01-10","1994-01-19"
"P19940126",400,0,51,"1994-01-26","1994-02-02"
"P19940207",400,0,51,"1994-02-07","1994-02-14"
"P19940222",400,0,51,"1994-02-22","1994-02-28"
"P19940307",400,0,51,"1994-03-07","1994-03-13"
"P19940322",399,0,51,"1994-03-22","1994-03-28"
"P19940404",399,0,51,"1994-04-04","1994-04-11"
"P19940418",399,0,51,"1994-04-18","1994-04-25"
"P19940502",399,0,51,"1994-05-02","1994-05-09"
"P19940516",399,0,51,"1994-05-16","1994-05-23"
"P19940530",399,0,51,"1994-05-30","1994-06-06"
"P19940613",399,0,50,"1994-06-13","1994-06-21"
"P19940627",399,0,51,"1994-06-27","1994-07-04"
"P19940711",399,0,51,"1994-07-11","1994-07-16"
"P19940725",399,0,51,"1994-07-25","1994-08-03"
"P19940808",377,0,50,"1994-08-08","1994-08-15"
"P19940822",398,0,51,"1994-08-22","1994-08-29"
"P19940906",397,0,51,"1994-09-06","1994-09-12"
"P19940919",396,0,51,"1994-09-19","1994-09-26"
"P19941010",396,0,51,"1994-10-10","1994-10-17"
"P19941023",396,0,51,"1994-10-23","1994-10-30"
"P19941107",396,0,51,"1994-11-07","1994-11-14"
"P19941121",395,0,51,"1994-11-21","1994-11-28"
"P19941205",395,0,51,"1994-12-05","1994-12-12"
"P19941219",395,0,51,"1994-12-19","1994-12-26"
"P19950102",395,0,51,"1995-01-02","1995-01-09"
"P19950116",394,0,51,"1995-01-16","1995-01-23"
"P19950202",394,0,51,"1995-02-02","1995-02-09"
"P19950213",394,0,51,"1995-02-13","1995-02-20"
"P19950227",394,0,51,"1995-02-27","1995-03-03"
"P19950314",393,0,51,"1995-03-14","1995-03-20"
"P19950327",393,0,51,"1995-03-27","1995-04-03"
"P19950410",393,0,51,"1995-04-10","1995-04-17"
"P19950424",393,0,51,"1995-04-24","1995-05-01"
"P19950508",393,0,51,"1995-05-08","1995-05-16"
"P19950522",393,0,51,"1995-05-22","1995-05-29"
"P19950605",393,0,51,"1995-06-05","1995-06-12"
"P19950619",393,0,51,"1995-06-19","1995-06-26"
"P19950703",393,0,51,"1995-07-03","1995-07-10"
"P19950717",393,0,51,"1995-07-17","1995-07-22"
"P19950731",393,0,51,"1995-07-31","1995-08-05"
"P19950812",393,0,51,"1995-08-12","1995-08-18"
"P19950829",392,0,51,"1995-08-29","1995-09-04"
"P19950912",392,0,51,"1995-09-12","1995-09-18"
"P19950926",392,0,0,"1995-09-26","1995-09-30"
"P19951009",392,0,51,"1995-10-09","1995-10-13"
"P19951023",392,0,51,"1995-10-23","1995-10-30"
"P19951107",392,0,51,"1995-11-07","1995-11-13"
"P19951120",392,0,51,"1995-11-20","1995-11-27"
"P19951205",392,0,51,"1995-12-05","1995-12-09"
"P19951218",392,0,51,"1995-12-18","1995-12-25"
"P19960108",391,0,50,"1996-01-08","1996-01-12"
"P19960124",391,0,50,"1996-01-24","1996-01-29"
"P19960205",390,0,50,"1996-02-05","1996-02-08"
"P19960219",390,0,50,"1996-02-19","1996-02-26"
"P19960307",390,0,50,"1996-03-07","1996-03-15"
"P19960326",390,0,50,"1996-03-26","1996-03-30"
"P19960401",390,0,50,"1996-04-01","1996-04-05"
"P19960409",390,0,50,"1996-04-09","1996-04-15"
"P19960417",390,0,50,"1996-04-17","1996-04-24"
"P19960425",390,0,0,"1996-04-25","1996-05-01"
"P19960502",389,0,50,"1996-05-02","1996-05-07"
"P19960508",390,0,50,"1996-05-08","1996-05-18"
"P19960521",390,0,50,"1996-05-21","1996-05-29"
"P19960605",390,0,50,"1996-06-05","1996-06-11"
"P19960612",390,0,50,"1996-06-12","1996-06-20"
"P19960622",390,0,50,"1996-06-22","1996-07-03"
"P19960704",390,0,50,"1996-07-04","1996-07-12"
"P19960714",390,0,50,"1996-07-14","1996-07-22"
"P19960725",390,0,50,"1996-07-25","1996-08-06"
"P19960808",390,0,50,"1996-08-08","1996-08-26"
"P19960830",241,0,0,"1996-08-30","1996-09-03"
"P19960919",390,0,50,"1996-09-19","1996-10-01"
"P19961007",390,0,50,"1996-10-07","1996-10-14"
"P19961021",389,0,50,"1996-10-21","1996-11-01"
"P19961107",390,0,50,"1996-11-07","1996-11-15"
"P19961121",390,0,50,"1996-11-21","1996-11-29"
"P19961216",390,0,50,"1996-12-16","1996-12-30"
"P19970102",390,0,50,"1997-01-02","1997-01-10"
"P19970120",390,0,50,"1997-01-20","1997-01-27"
"P19970221",390,0,50,"1997-02-21","1997-03-04"
"P19970310",390,0,50,"1997-03-10","1997-03-17"
"P19970331",390,0,49,"1997-03-31","1997-04-14"
"P19970421",389,0,49,"1997-04-21","1997-05-01"
"P19970506",389,0,49,"1997-05-06","1997-05-23"
"P19970610",388,0,49,"1997-06-10","1997-06-17"
"P19970623",388,0,49,"1997-06-23","1997-07-01"
"P19970708",387,0,49,"1997-07-08","1997-07-21"
"P19970812",361,0,49,"1997-08-12","1997-08-19"
"P19970825",358,0,49,"1997-08-25","1997-08-29"
"P19970915",357,0,49,"1997-09-15","1997-09-19"
"P19970929",357,0,49,"1997-09-29","1997-10-06"
"P19971013",356,0,49,"1997-10-13","1997-10-24"
"P19971103",356,0,49,"1997-11-03","1997-11-10"
"P19971117",356,0,49,"1997-11-17","1997-11-24"
"P19971208",356,0,49,"1997-12-08","1997-12-15"
"P19971222",356,0,49,"1997-12-22","1997-12-27"
"P19980106",356,0,49,"1998-01-06","1998-01-13"
"P19980119",356,0,49,"1998-01-19","1998-01-22"
"P19980210",356,0,49,"1998-02-10","1998-02-16"
"P19980225",356,0,49,"1998-02-25","1998-03-09"
"P19980311",356,0,49,"1998-03-11","1998-03-17"
"P19980320",353,0,48,"1998-03-20","1998-03-28"
"P19980401",350,0,48,"1998-04-01","1998-04-13"
"P19980415",342,0,46,"1998-04-15","1998-04-24"
"P19980430",340,0,45,"1998-04-30","1998-05-12"
"P19980518",341,0,45,"1998-05-18","1998-05-25"
"P19980527",337,0,44,"1998-05-27","1998-06-09"
"P19980615",337,0,44,"1998-06-15","1998-06-22"
"P19980629",336,0,44,"1998-06-29","1998-07-02"
"P19980715",334,0,44,"1998-07-15","1998-07-21"
"P19980728",332,0,44,"1998-07-28","1998-08-04"
"P19980810",333,0,44,"1998-08-10","1998-08-17"
"P19980824",332,0,44,"1998-08-24","1998-09-08"
"P19980914",331,0,44,"1998-09-14","1998-09-21"
"P19980930",332,0,44,"1998-09-30","1998-10-06"
"P19981012",331,0,44,"1998-10-12","1998-10-22"
"P19981026",325,0,44,"1998-10-26","1998-11-05"
"P19981117",321,0,44,"1998-11-17","1998-11-25"
"P19981130",316,0,44,"1998-11-30","1998-12-08"
"P19981215",314,0,44,"1998-12-15","1998-12-26"
"P19990107",325,0,44,"1999-01-07","1999-01-13"
"P19990125",325,0,44,"1999-01-25","1999-02-05"
"P19990215",325,0,44,"1999-02-15","1999-02-23"
"P19990301",325,0,44,"1999-03-01","1999-03-08"
"P19990315",310,0,44,"1999-03-15","1999-03-22"
"P19990405",310,0,44,"1999-04-05","1999-04-12"
"P19990419",310,0,44,"1999-04-19","1999-04-27"
"P19990510",310,0,44,"1999-05-10","1999-05-13"
"P19990518",310,0,44,"1999-05-18","1999-05-21"
"P19990531",310,0,44,"1999-05-31","1999-06-08"
"P19990614",310,0,44,"1999-06-14","1999-06-17"
"P19990705",310,0,44,"1999-07-05","1999-07-13"
"P19990720",310,0,44,"1999-07-20","1999-07-27"
"P19990809",310,0,44,"1999-08-09","1999-08-17"
"P19990823",310,0,44,"1999-08-23","1999-09-01"
