"obno","idno","cnc","loc","date","ar","flb","flw","fri","frm"
"10W10-1","T001","P20010920","CBP","2001-09-20","G0","","","",""
"10W10-1","T001","P20011002","CBP","2001-10-02","G0","","","",""
"10W10-1","T001","P20011015","CBP","2001-10-15","G0","","","",""
"10W10-1","T001","P20011030","CBP","2001-10-30","G0","","","",""
"10W10-1","T001","P20011119","CBP","2001-11-19","G0","","","",""
"10W10-1","T001","P20011203","CBP","2001-12-04","G0","","","",""
"10W10-1","T001","P20011231","CBP","2001-12-31","G0","","","",""
"10W10-1","T001","P20020121","CBP","2002-01-22","G0","","","",""
"10W10-1","T001","P20020205","CBP","2002-02-05","G0","","","",""
"10W10-1","T001","P20020311","CBP","2002-03-12","G0","","","",""
"10W10-1","T001","P20020321","CBP","2002-03-25","G0","","","",""
"10W10-1","T001","P20020408","CBP","2002-04-08","G0","","","",""
"10W10-1","T001","P20020424","CBP","2002-04-24","G0","","","",""
"10W10-1","T001","P20020508","CBP","2002-05-10","G0","","","",""
"10W10-1","T001","P20020520","CBP","2002-05-20","G0","","","",""
"10W10-1","T001","P20020606","CBP","2002-06-06","G0","","","",""
"10W10-1","T001","P20020624","CBP","2002-06-24","G0","","","",""
"10W10-1","T001","P20020709","CBP","2002-07-09","G0","","","",""
"10W10-1","T001","P20020722","CBP","2002-07-23","G0","","","",""
"10W10-1","T001","P20020805","CBP","2002-08-05","G0","","","",""
"10W10-1","T001","P20020819","CBP","2002-08-19","G0","","","",""
"10W10-1","T001","P20020902","CBP","2002-09-02","G0","","","",""
"10W10-1","T001","P20020923","CBP","2002-09-23","G0","","","",""
"10W10-1","T001","P20021008","CBP","2002-10-08","G0","","","",""
"10W10-1","T001","P20021021","CBP","2002-10-21","G0","","","",""
"10W10-1","T001","P20021111","CBP","2002-11-12","G0","","","",""
"10W10-1","T001","P20021218","CBP","2002-12-18","G0","","","",""
"10W10-1","T001","P20030106","CBP","2003-01-06","G0","","","",""
"10W10-1","T001","P20030120","CBP","2003-01-20","G0","","","",""
"10W10-1","T001","P20030204","CBP","2003-02-04","G0","","","",""
"10W10-1","T001","P20030219","CBP","2003-02-19","G0","","","",""
"10W10-1","T001","P20030313","CBP","2003-03-13","G0","","","",""
"10W10-1","T001","P20030331","CBP","2003-03-31","G0","","","",""
"10W10-1","T001","P20030414","CBP","2003-04-14","G0","","","",""
"10W10-1","T001","P20030512","CBP","2003-05-12","G0","","","",""
"10W10-1","T001","P20030526","CBP","2003-05-26","G0","","","",""
"10W10-1","T001","P20030616","CBP","2003-06-16","G0","","","",""
"10W10-1","T001","P20030630","CBP","2003-06-30","G0","","","",""
"10W10-1","T001","P20030714","CBP","2003-07-14","G0","","","",""
"10W10-1","T001","P20030730","CBP","2003-07-30","G0","","","",""
"10W10-1","T001","P20030811","CBP","2003-08-11","G0","","","",""
"10W10-1","T001","P20030902","CBP","2003-09-02","G0","","","",""
"10W10-1","T001","P20030922","CBP","2003-09-22","G0","","","",""
"10W10-1","T001","P20031014","CBP","2003-10-14","G0","","","",""
"10W10-1","T001","P20031027","CBP","2003-10-28","G0","","","",""
"10W10-1","T001","P20031117","CBP","2003-11-17","G0","","","",""
"10W10-1","T001","P20031208","CBP","2003-12-08","G0","","","",""
"10W10-1","T001","P20031222","CBP","2003-12-22","G0","","","",""
"10W10-1","T001","P20040113","CBP","2004-01-13","G0","","","",""
"10W10-1","T001","P20040126","CBP","2004-01-28","G0","","","",""
"10W10-1","T001","P20040209","CBP","2004-02-09","G0","","","",""
"10W10-1","T001","P20040224","CBP","2004-02-24","G0","","","",""
"10W10-1","T001","P20040308","CBP","2004-03-08","G0","","","",""
"10W10-1","T001","P20040322","CBP","2004-03-22","G0","","","",""
"10W10-1","T001","P20040330","CBP","2004-03-30","G0","","","",""
"10W10-1","T001","P20040412","CBP","2004-04-12","G0","","","",""
"10W10-1","T001","P20040421","CBP","2004-04-22","G0","","","",""
"10W10-1","T001","P20040510","CBP","2004-05-14","G0","","","",""
"10W10-1","T001","P20040522","CBP","2004-05-22","G0","","","",""
"10W10-1","T001","P20040611","CBP","2004-06-12","G0","","","",""
"10W10-1","T001","P20040619","CBP","2004-06-20","G0","","","",""
"10W10-1","T001","P20040701","CBP","2004-07-03","G0","","","",""
"10W10-1","T001","P20040719","CBP","2004-07-21","G0","","","",""
"10W10-1","T001","P20040802","CBP","2004-08-04","G0","","","",""
