"obno","idno","loc","size","spc"
"10W10-1","T001","CBP",NA,"FL2"
"10W10-2","T002","CBP",NA,"BU9"
"10W10-3","T003","CBP",NA,"EU34"
"10W10-5","T004","CBP",NA,"MR1"
"10W10-7","T005","CBP",NA,"DP40"
"10W10-8","T006","CBP",NA,"ST8"
"10W10-9","T007","CBP",NA,"DP4"
"10W15-1","T008","CBP",NA,"DP61"
"10W15-2","T009","CBP",NA,"DP4"
"10W15-4","T010","CBP",NA,"DP4"
"10W15-5","T011","CBP",NA,"ST10"
"10W15-6","T012","CBP",NA,"DP57"
"10W15-7","T013","CBP",NA,"EU15"
"10W15-8","T014","CBP",NA,"LG29"
"10W15-9","T015","CBP",NA,"CN4"
"10W5-1","T016","CBP",NA,"EU36"
"10W5-2","T017","CBP",NA,"EU15"
"10W5-3","T018","CBP",NA,"EU38"
"10W5-5","T019","CBP",NA,"MY8"
"10W5-9","T020","CBP",NA,"MY22"
"11W0-1","T021","CBP",NA,"EU24"
"11W0-2","T022","CBP",NA,"EU24"
"11W0-3","T023","CBP",NA,"MO4"
"11W0-4","T024","CBP",NA,"AN14"
"11W0-5","T025","CBP",NA,"OL4"
"11W0-7","T027","CBP",NA,"EU37"
"11W0-9","T029","CBP",NA,"MY4"
"11W10-1","T030","CBP",NA,"OL4"
"11W10-2","T031","CBP",NA,"EU13"
"11W10-3","T032","CBP",NA,"OL2"
"11W10-4","T033","CBP",NA,"DP34"
"11W10-5","T034","CBP",NA,"DP25"
"11W10-6","T035","CBP",NA,"ST8"
"11W5-1","T036","CBP",NA,"EU9"
"11W5-2","T037","CBP",NA,"MY21"
"11W5-3","T038","CBP",NA,"BU23"
"11W5-4","T039","CBP",NA,"OL1"
"11W5-5","T040","CBP",NA,"DP54"
"11W5-6","T041","CBP",NA,"OL3"
"11W5-7","T042","CBP",NA,"DP60"
"12.60-1","S328","CBP","II","EU24"
"12.60-2","S343","CBP","II","EU4"
"12.60-3","S473","CBP","II","MY13"
"12.60-4","S407","CBP",NA,"LG28"
"12W0-1","T043","CBP",NA,"BU9"
"12W0-10","T044","CBP",NA,"SP5"
"12W0-12","T045","CBP",NA,"SP7"
"12W0-2","T046","CBP",NA,"PR1"
"12W0-3","T047","CBP",NA,"AC7"
"12W0-4","T048","CBP",NA,"IX1"
"12W0-5","T049","CBP",NA,"DP25"
"12W0-7","T051","CBP",NA,"OL3"
"12W0-8","T052","CBP",NA,"DP8"
"12W0-9","T053","CBP",NA,"BO1"
"12W10-1","T054","CBP",NA,"DP25"
"12W10-2","T055","CBP",NA,"IX1"
"12W10-3","T056","CBP",NA,"SD3"
"12W5-2","T059","CBP",NA,"MO23"
"12W5-3","T060","CBP",NA,"MY5"
"12W5-4","T061","CBP",NA,"DP25"
"15.65-1","S329","CBP","III","EU24"
"15.65-2","S274","CBP","II","EL2"
"15.65-3","S353","CBP",NA,"IC1"
"15.65-4","S420","CBP",NA,"LO1"
"18.65-1","S398","CBP",NA,"LG19"
"18.65-2","S28","CBP","III","AN9"
"18.65-3","S280","CBP","II","EU5"
"18.65-4","S304","CBP","III","EU15"
"18.65-5","S109","CBP","II","DP4"
"18.65-6","S110","CBP","II","DP4"
"21.75-1","S81","CBP",NA,"VR4"
"21.75-2","S498","CBP",NA,"OR6"
"21.75-4","S460","CBP","II","MY3"
"21.75-5","S478","CBP","II","MR1"
"21.75-6","S111","CBP","III","DP4"
"21.75-7","S305","CBP","III","EU15"
"21.75-8","S483","CBP","III","MT5"
"24.75-1","S21","CBP",NA,"AN3"
"24.75-2","S408","CBP",NA,"LG28"
"24.75-3","S331","CBP","IV","EU25"
"27.75-1","S82","CBP",NA,"VR4"
"27.75-2","S499","CBP",NA,"OR7"
"27.75-3","S500","CBP",NA,"OR8"
"27.75-4","S501","CBP",NA,"OR9"
"27.75-5","S43","CBP",NA,"AL1"
"2W0-0","S183","CBP","V","DP27"
"2W0-1","S150","CBP","III","DP11"
"2W0-1B","S505","CBP",NA,"PA1"
"2W0-2","S94","CBP","III","DP4"
"2W0-3","S95","CBP","III","DP4"
"2W0-4","S484","CBP","IV","MT6"
"2W0-5","S2","CBP",NA,"AC2"
"2W0-5B","S44","CBP",NA,"AS1"
"2W0-7","S34","CBP","III","AN11"
"2W0-8","S404","CBP",NA,"LG25"
"2W15-1","S45","CBP",NA,"AS1"
"2W15-2","S39","CBP",NA,"AP3"
"2W15-3","S221","CBP","III","DP41"
"2W15-4","S374","CBP","III","LG3"
"2W15-5","S512","CBP","III","EU22"
"2W15-6","S258","CBP","IV","DP38"
"2W20-1","S25","CBP",NA,"AN7"
"2W20-2","S84","CBP",NA,"VR4"
"2W20-3","S390","CBP","III","LG11"
"2W20-4","S430","CBP","III","MO2"
"2W20-5","S86","CBP",NA,"CN1"
"2W5-1","S92","CBP","III","DP7"
"2W5-2","S46","CBP",NA,"AS2"
"2W5-3","S502","CBP",NA,"OR10"
"3.50-1","S272","CBP","II","EB2"
"3W0-0","S184","CBP","V","DP27"
"3W0-1","S6","CBP","III","AC3"
"3W0-2","S336","CBP",NA,"EU26"
