"spc","family","genus","species","variety","lfm"
"AC1","Anacardiaceae","Bouea","sp.1","","T3"
"AC10","Anacardiaceae","Swintonia","shnenkii","","T4"
"AC11","Anacardiaceae","Parishia","sp.1","","T4"
"AC12","Anacardiaceae","Gluta","oba","","T4"
"AC13","Anacardiaceae","Swintonia","acuta","","T4"
"AC14","Anacardiaceae","Swintonia","foxwarthii","","T4"
"AC2","Anacardiaceae","Campnosperma","auriculatum","","G"
"AC3","Anacardiaceae","Gluta","macrocarpa","","T3"
"AC4","Anacardiaceae","Gluta","wallichii","","T4"
"AC5","Anacardiaceae","Mangifera","havilandii","","T3"
"AC6","Anacardiaceae","Mangifera","magnifica","","T4"
"AC7","Anacardiaceae","Parishia","sericea","","T4"
"AC8","Anacardiaceae","Uc.1","","","T3"
"AC9","Anacardiaceae","Melanochyla","aff.beccariana","","T3"
"AL1","Araliaceae","Schefflera","uc.1","","E"
"AL2","Araliaceae","Arthrophyllum","diversifolium","","T4"
"AN1","Annonaceae","Artabotrys","venustus","","L"
"AN10","Annonaceae","Pyramidanthe","prismatica","","L"
"AN11","Annonaceae","Polyalthia","hypoleuca","","T3"
"AN13","Annonaceae","Polyalthia","rumphii","","T2"
"AN14","Annonaceae","Cyathocalyx","magnifica","",NA
"AN25","Annonaceae","Mezzettia","macrocarpa","","T4"
"AN3","Annonaceae","Friesodielsia","argentia","","L"
"AN5","Annonaceae","Fissistigma","kingii","grandiflorum","L"
"AN6","Annonaceae","Uvaria","desmoides","","L"
"AN7","Annonaceae","Fissistigma","latifolium","","L"
"AN9","Annonaceae","Monocarpia","euneura","","T3"
"AP1","Apocynaceae","Anodendron","candolleanum","","L"
"AP2","Apocynaceae","Uc.1","","","L"
"AP3","Apocynaceae","Urceola","SP.","","L"
"AQ1","Aquifoliaceae","Ilex","sp.1","","T4"
"AR1","Araceae","Potos","uc.1","","E"
"AR2","Araceae","Unknown","","","E"
"AR4","Araceae","Unknown","","","E"
"AR5","Araceae","Unknown","","","E"
"AR8","Araceae","Unknown","","","E"
"AS1","Ascrepiadaceae","Gongonema","sp.1","","L"
"AS2","Ascrepiadaceae","Hoya","sp.1","","E"
"BO1","Bombacaceae","Coelostegia","griffithii","","T4"
"BO2","Bombacaceae","Durio","sp.1","","T2"
"BO5","Bombacaceae","Durio","CRN3","",NA
"BU1","Burseraceae","Canarium","caudatum","","T4"
"BU10","Burseraceae","Santiria","griffithii","","T4"
"BU11","Burseraceae","Santiria","laevigata","","T4"
"BU12","Burseraceae","Santiria","mollis","","T3"
"BU14","Burseraceae","Santiria","sp.G(Kochuman)","","T3"
"BU17","Burseraceae","Sp.5","","","T4"
"BU18","Burseraceae","Canarium","sp.3","","T4"
"BU2","Burseraceae","Canarium","denticulatum","","T3"
"BU22","Burseraceae","Triomma","malaccensis","","T5"
"BU23","Burseraceae","Dacriodes","rubiginosa","","T4"
"BU24","Burseraceae","Santiria","grandifolia","","T4"
"BU3","Burseraceae","Canarium","pilosum","","T3"
"BU6","Burseraceae","Canarium","sp.C(Kochuman)","","T3"
"BU7","Burseraceae","Sp.4","","","T3"
"BU8","Burseraceae","Dacriodes","""bulu_merah""","","T3"
"BU9","Burseraceae","Dacriodes","incurvata","","T4"
"CE1","Celastraceae","Lophopetalum","grabrum","","T3"
"CE2","Celastraceae","Lophopetalum","multinervium","","T4"
"CH1","Chrysobalanaceae","Atuna","excelsa","","T3"
"CH2","Chrysobalanaceae","Parastemon","urophyllum","","T4"
"CH3","Chrysobalanaceae","Parinari","canarioides","","T5"
"CM1","Compositae","Vernonia","arborea","","T3"
"CN1","Connaraceae","Agelaea","macrophylla","","L"
"CN2","Connaraceae","Agelaea","borneensis","","L"
"CN3","Connaraceae","Connarus","euphlebius","","T2"
"CN4","Connaraceae","Cnestis","platantha","","T2"
"CO1","Cornaceae","Mastixia","aff. pentandra","","T4"
"CR1","Crypteroniaceae","Crypteronia","cumingii","","T3"
"CV1","Convolvulaceae","Erycibe","sp.1","","L"
"DL1","Dilleniaceae","Tetracea","macrophylla","","L"
"DP1","Dipterocarpaceae","Cotylelobium","melanoxylon","","T5"
"DP10","Dipterocarpaceae","Dryobalanops","aromatica","","T5"
"DP11","Dipterocarpaceae","Dryobalanops","lanceolata","","T5"
"DP12","Dipterocarpaceae","Hopea","griflithii","","T3"
"DP13","Dipterocarpaceae","Parashorea","smithiethii","","T5"
"DP14","Dipterocarpaceae","Shorea","faguetiana","","T4"
"DP23","Dipterocarpaceae","Shorea","acuta","","T5"
"DP24","Dipterocarpaceae","Shorea","beccariana","","T5"
"DP25","Dipterocarpaceae","Shorea","biawak","","T4"
"DP26","Dipterocarpaceae","Shorea","confusa","","T5"
"DP27","Dipterocarpaceae","Shorea","bullata","","T5"
"DP28","Dipterocarpaceae","Shorea","aff.crassa","","T5"
"DP29","Dipterocarpaceae","Shorea","curtisii","","T5"
"DP30","Dipterocarpaceae","Shorea","exelliptica","","T5"
"DP32","Dipterocarpaceae","Shorea","falciferoides","glaucescens","T5"
"DP33","Dipterocarpaceae","Shorea","fallax","","T5"
"DP34","Dipterocarpaceae","Shorea","ferruginea","","T5"
"DP35","Dipterocarpaceae","Shorea","havilandii","","T5"
"DP37","Dipterocarpaceae","Shorea","kunstleri","","T5"
"DP38","Dipterocarpaceae","Shorea","leprosula","","T5"
"DP39","Dipterocarpaceae","Shorea","macrophylla","","T5"
"DP4","Dipterocarpaceae","Dipterocarpus","palembanicus","borneensis","T4"
"DP40","Dipterocarpaceae","Shorea","macroptera","bauillonii","T5"
"DP41","Dipterocarpaceae","Shorea","macroptera","macropterifolia","T5"
"DP42","Dipterocarpaceae","Shorea","obscura","","T5"
"DP43","Dipterocarpaceae","Shorea","ochracea","","T5"
