"binomial_name","family","genus","species","restoration","count","relative_abundance_percent","mean_DBH","mean_Height"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","AR",1,0.0459770114942529,156,11.4
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed","NR",1,0.0560852495793606,209,12.5
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","AR",1,0.0459770114942529,371,30.3
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii","NR",2,0.112170499158721,185.5,22.3
"Adenanthera malayana","Fabaceae","Adenanthera","malayana","AR",1,0.0459770114942529,405,47.5
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","NR",1,0.0560852495793606,297,26.4
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia","AR",1,0.0459770114942529,260,18.7
"Aglaia argentea","Meliaceae","Aglaia","argentea","AR",1,0.0459770114942529,228,20.9
"Aglaia argentea","Meliaceae","Aglaia","argentea","NR",2,0.112170499158721,244.5,17.8
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","AR",1,0.0459770114942529,130,9.4
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima","NR",1,0.0560852495793606,251,13.3
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","AR",12,0.551724137931034,148.333333333333,16.8666666666667
"Aglaia silvestris","Meliaceae","Aglaia","silvestris","NR",8,0.448681996634885,174.5,14.6625
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","AR",1,0.0459770114942529,110,14.1
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis","NR",1,0.0560852495793606,292,23.4
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","AR",3,0.137931034482759,153.333333333333,17.9666666666667
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa","NR",2,0.112170499158721,166.5,10.05
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","AR",23,1.05747126436782,218.608695652174,21.4391304347826
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed","NR",12,0.673022994952328,150.75,10.425
"Alangium javanicum","Cornaceae","Alangium","javanicum","AR",26,1.19540229885057,252.692307692308,24.7346153846154
"Alangium javanicum","Cornaceae","Alangium","javanicum","NR",24,1.34604598990466,221.541666666667,17.0666666666667
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed","AR",1,0.0459770114942529,367,30.8
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","AR",1,0.0459770114942529,201,16.1
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia","NR",1,0.0560852495793606,179,12.4
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","AR",1,0.0459770114942529,172,11.9
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri","NR",1,0.0560852495793606,213,17.5
