"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"1D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",119,8.8,"CP"
"1D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",578,33.4,"CP"
"1D","AR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",294,28.1,"CP"
"1D","AR","Ardisia  colorata","PRIMULACEAE","Ardisia ","colorata",121,19.7,"CP"
"1D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",186,12,"CP"
"1D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",313,33.6,"CP"
"1D","AR","Shorea mecistopteryx","DIPTEROCARPACEAE","Shorea","mecistopteryx",1195,55.9,"CP"
"1D","AR","Canarium unknown mixed","BURSERACEAE","Canarium","unknown mixed",121,14,"CP"
"1D","AR","Ochanostachys amentacea","OLACACEAE","Ochanostachys","amentacea",241,26.2,"CP"
"1D","AR","Madhuca kingiana","SAPOTACEAE","Madhuca","kingiana",455,39.2,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",124,15.2,"CP"
"1D","AR","Neoscortechinia kingii","EUPHORBIACEAE","Neoscortechinia","kingii",141,17.8,"CP"
"1D","AR","Scorodocarpus borneensis","OLACACEAE","Scorodocarpus","borneensis",135,17,"CP"
"1D","AR","Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed",257,22.3,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",147,17.9,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",168,18.6,"CP"
"1D","AR","Lithocarpus gracilis","FAGACEAE","Lithocarpus","gracilis",137,13,"CP"
"1D","AR","Maasia sumatrana","ANNONACEAE","Maasia","sumatrana",286,27.9,"CP"
"1D","AR","Baccaurea unknown mixed","PHYLLANTHACEAE","Baccaurea","unknown mixed",202,12,"CP"
"1D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",906,54.9,"CP"
"1D","AR","Hopea ferruginea","DIPTEROCARPACEAE","Hopea","ferruginea",291,38.3,"CP"
"1D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",113,12.8,"CP"
"1D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",450,36,"CP"
"1D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",111,9.7,"CP"
"1D","AR","Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium",147,19.2,"CP"
"1D","AR","Dehaasia caesia","LAURACEAE","Dehaasia","caesia",601,29.2,"CP"
"1D","AR","Drypetes unknown mixed","PUTRANJIVACEAE","Drypetes","unknown mixed",174,11.2,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",201,16,"CP"
"1D","AR","Dipterocarpus caudiferus","DIPTEROCARPACEAE","Dipterocarpus","caudiferus",140,14.3,"CP"
"1D","AR","Scaphium longifolium","MALVACEAE","Scaphium","longifolium",175,18,"CP"
"1D","AR","Knema laurina","MYRISTICACEAE","Knema","laurina",195,19.7,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",424,24,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",346,26.2,"CP"
"1D","AR","Diospyros unknown mixed","EBENACEAE","Diospyros","unknown mixed",139,16.7,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",127,13.8,"CP"
"1D","AR","Spathiostemon javensis","EUPHORBIACEAE","Spathiostemon","javensis",223,21.7,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",382,29.9,"CP"
"1D","AR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",236,21.2,"CP"
"1D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",127,20.6,"CP"
"1D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",156,24.6,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",326,32,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",465,30.8,"CP"
"1D","AR","Knema elmeri","MYRISTICACEAE","Knema","elmeri",152,17.9,"CP"
"1D","AR","Dehaasia caesia","LAURACEAE","Dehaasia","caesia",336,28,"CP"
"1D","AR","Lithocarpus gracilis","FAGACEAE","Lithocarpus","gracilis",157,21,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",325,23.2,"CP"
"1D","AR","Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea",308,30.8,"CP"
"1D","AR","Microcos ossea","MALVACEAE","Microcos","ossea",166,14.2,"CP"
"1D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",589,33.8,"CP"
"1D","AR","Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii",513,38.2,"CP"
"1D","AR","Shorea macroptera","DIPTEROCARPACEAE","Shorea","macroptera",188,27,"CP"
