"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance_percent"
"Actinodaphne unknown mixed","LAURACEAE","Actinodaphne","unknown mixed","NR",1,209,12.5,0.0560852495793606
"Adenanthera kostermansii","FABACEAE","Adenanthera","kostermansii","NR",2,185.5,22.3,0.112170499158721
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed","NR",1,297,26.4,0.0560852495793606
"Aglaia argentea","MELIACEAE","Aglaia","argentea","NR",2,244.5,17.8,0.112170499158721
"Aglaia odoratissima","MELIACEAE","Aglaia","odoratissima","NR",1,251,13.3,0.0560852495793606
"Aglaia silvestris","MELIACEAE","Aglaia","silvestris","NR",8,174.5,14.6625,0.448681996634885
"Aglaia spectabilis","MELIACEAE","Aglaia","spectabilis","NR",1,292,23.4,0.0560852495793606
"Aglaia tomentosa","MELIACEAE","Aglaia","tomentosa","NR",2,166.5,10.05,0.112170499158721
"Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed","NR",12,150.75,10.425,0.673022994952328
"Alangium javanicum","ALANGIACEAE","Alangium","javanicum","NR",24,221.541666666667,17.0666666666667,1.34604598990466
"Alstonia angustifolia","APOCYNACEAE","Alstonia","angustifolia","NR",1,179,12.4,0.0560852495793606
"Anisophyllea cornerii","ANISOPHYLLEACEAE","Anisophyllea","cornerii","NR",1,213,17.5,0.0560852495793606
"Antidesma species 1","PHYLLANTHACEAE","Antidesma","species 1","NR",1,122,10.9,0.0560852495793606
"Aporusa elmeri","PHYLLANTHACEAE","Aporusa","elmeri","NR",3,194.666666666667,17.1666666666667,0.168255748738082
"Aporusa falcifera","PHYLLANTHACEAE","Aporusa","falcifera","NR",14,152.5,14.4285714285714,0.785193494111049
"Aporusa frutescens","PHYLLANTHACEAE","Aporusa","frutescens","NR",2,134,11.35,0.112170499158721
"Aporusa grandistipula","PHYLLANTHACEAE","Aporusa","grandistipula","NR",2,121.5,13.35,0.112170499158721
"Aporusa illustris","PHYLLANTHACEAE","Aporusa","illustris","NR",3,160.666666666667,14.4333333333333,0.168255748738082
"Aporusa unknown mixed","PHYLLANTHACEAE","Aporusa","unknown mixed","NR",1,110,18,0.0560852495793606
"Ardisia  colorata","PRIMULACEAE","Ardisia ","colorata","NR",1,130,12.9,0.0560852495793606
"Ardisia  macrophylla","PRIMULACEAE","Ardisia ","macrophylla","NR",1,175,14.3,0.0560852495793606
"Artocarpus anisophyllus","MORACEAE","Artocarpus","anisophyllus","NR",1,219,16.6,0.0560852495793606
"Artocarpus elasticus","MORACEAE","Artocarpus","elasticus","NR",1,587,27.3,0.0560852495793606
"Atuna racemosa","CHRYSOBALANACEAE","Atuna","racemosa","NR",1,101,16.6,0.0560852495793606
