"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance_percent"
"Actinodaphne unknown mixed","LAURACEAE","Actinodaphne","unknown mixed","AR",1,156,11.4,0.0459770114942529
"Adenanthera kostermansii","FABACEAE","Adenanthera","kostermansii","AR",1,371,30.3,0.0459770114942529
"Adenanthera malayana","FABACEAE","Adenanthera","malayana","AR",1,405,47.5,0.0459770114942529
"Aglaia angustifolia","MELIACEAE","Aglaia","angustifolia","AR",1,260,18.7,0.0459770114942529
"Aglaia argentea","MELIACEAE","Aglaia","argentea","AR",1,228,20.9,0.0459770114942529
"Aglaia odoratissima","MELIACEAE","Aglaia","odoratissima","AR",1,130,9.4,0.0459770114942529
"Aglaia silvestris","MELIACEAE","Aglaia","silvestris","AR",12,148.333333333333,16.8666666666667,0.551724137931034
"Aglaia spectabilis","MELIACEAE","Aglaia","spectabilis","AR",1,110,14.1,0.0459770114942529
"Aglaia tomentosa","MELIACEAE","Aglaia","tomentosa","AR",3,153.333333333333,17.9666666666667,0.137931034482759
"Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed","AR",23,218.608695652174,21.4391304347826,1.05747126436782
"Alangium javanicum","ALANGIACEAE","Alangium","javanicum","AR",26,252.692307692308,24.7346153846154,1.19540229885057
"Alseodaphne unknown mixed","LAURACEAE","Alseodaphne","unknown mixed","AR",1,367,30.8,0.0459770114942529
"Alstonia angustifolia","APOCYNACEAE","Alstonia","angustifolia","AR",1,201,16.1,0.0459770114942529
"Anisophyllea cornerii","ANISOPHYLLEACEAE","Anisophyllea","cornerii","AR",1,172,11.9,0.0459770114942529
"Anisoptera costata","DIPTEROCARPACEAE","Anisoptera","costata","AR",7,413.285714285714,24.5571428571429,0.32183908045977
"Antidesma unknown mixed","PHYLLANTHACEAE","Antidesma","unknown mixed","AR",1,157,13.9,0.0459770114942529
"Aporusa elmeri","PHYLLANTHACEAE","Aporusa","elmeri","AR",1,203,17.7,0.0459770114942529
"Aporusa falcifera","PHYLLANTHACEAE","Aporusa","falcifera","AR",10,160.555555555556,17.4333333333333,0.459770114942529
"Aporusa frutescens","PHYLLANTHACEAE","Aporusa","frutescens","AR",1,124,14.8,0.0459770114942529
"Aporusa grandistipula","PHYLLANTHACEAE","Aporusa","grandistipula","AR",4,124.5,13.25,0.183908045977011
"Aporusa illustris","PHYLLANTHACEAE","Aporusa","illustris","AR",5,140.4,14.82,0.229885057471264
"Aporusa unknown mixed","PHYLLANTHACEAE","Aporusa","unknown mixed","AR",1,124,13.7,0.0459770114942529
"Ardisia  colorata","PRIMULACEAE","Ardisia ","colorata","AR",6,129.5,16.5,0.275862068965517
"Ardisia  macrophylla","PRIMULACEAE","Ardisia ","macrophylla","AR",3,189.666666666667,19.5,0.137931034482759
"Ardisia  unknown mixed","PRIMULACEAE","Ardisia ","unknown mixed","AR",2,196.5,20.55,0.0919540229885057
"Artocarpus heterophyllus","MORACEAE","Artocarpus","heterophyllus","AR",1,496,28.8,0.0459770114942529
"Artocarpus unknown mixed","MORACEAE","Artocarpus","unknown mixed","AR",3,385.666666666667,29.0333333333333,0.137931034482759
"Azadirachta excelsa","MELIACEAE","Azadirachta","excelsa","AR",1,245,28.7,0.0459770114942529
"Baccaurea lanceolata","PHYLLANTHACEAE","Baccaurea","lanceolata","AR",5,181,14.9,0.229885057471264
"Baccaurea tetrandra","PHYLLANTHACEAE","Baccaurea","tetrandra","AR",20,158.95,14.14,0.919540229885057
"Baccaurea unknown mixed","PHYLLANTHACEAE","Baccaurea","unknown mixed","AR",4,228.25,17.15,0.183908045977011
"Barringtonia lanceolata","BARRINGTONIACEAE","Barringtonia","lanceolata","AR",5,170.6,16.44,0.229885057471264
"Barringtonia macrostachya","BARRINGTONIACEAE","Barringtonia","macrostachya","AR",10,163.2,12.43,0.459770114942529
"Beilschmiedia micrantha","LAURACEAE","Beilschmiedia","micrantha","AR",1,102,16.6,0.0459770114942529
"Beilschmiedia tawaensis","LAURACEAE","Beilschmiedia","tawaensis","AR",5,208,19.72,0.229885057471264
