,Seedling_survey_2020,Survey_2023,PLOTNUMBER,Stations,plot_network,restoration,x_32650,y_32650,long,lat,,PlotNo,Garmin_CoordinateN,Garmin_CoordinateE,,,
1,Y,Y,1,"N,S,E,W",KP,AR,589736.0019,553006.4461,117.8094711,5.002595209,,1D,05 00.153,117 48.567,,,
2,Y,Y,2,"N,S,E,W",KP,AR,589752.9382,553279.5544,117.809627,5.00506548,,2D,05 00.300,117 48.573,,,
3,Y,Y,3,"N,S,E,W",KP,AR,589585.9406,553054.1965,117.8081181,5.003028817,,3D,05 00.180,117 48.484,,,
4,N,N,4,"N,S,E,W",KP,AR,588998.1985,553426.6292,117.8028208,5.00640426,,4D,05 00.383,117 48.168,,,
5,N,N,5,"N,S,E,W",KP,AR,592788.9345,551929.5925,117.8369961,4.992819763,,5D,04 59.568,117 50.221,,,
6,combined,Y,6,"N,S,E,W",KP,AR,594974.5314,549965.9989,117.8566866,4.975032428,,6D,04 58.503,117 51.397,,,
7,Y,Y,7,"N,S,E,W",KP,NR,587153.0792,555485.8115,117.7862,5.025051331,,7D,05 01.502,117 47.170,,,
8,Y,Y,8,"N,S,E,W",KP,NR,585790.6327,556919.5286,117.7739256,5.038035125,,8D,05 02.282,117 46.432,,,
9,N,N,9,"N,S,E,W",KP,NR,585911.1087,556600.1474,117.7750089,5.035144779,,9D,05 02.109,117 46.500,,,
10,Y,Y,10,"N,S,E,W",KP,AR,592558.943,551949.2423,117.8349218,4.993000151,,10D,04 59.583,117 50.099,,,
11,Y,Y,11,"N,S,E,W",KP,NR,586169.9012,556910.611,117.7773467,5.037950379,,11D,5 02.277,117 46.641,,,
12,N,N,12,"N,S,E,W",KP,NR,581541.4411,559423.4506,117.7356209,5.060729719,,12D,05 03.646,117 44.134,,,
13,N,N,13,"N,S,E,W",KP,no seedling data,581126.5291,558942.3799,117.7318732,5.056382259,,13D,05 03.370,117 43.908,,,
14,combined,Y,14,"N,S,E,W",KP,NR,592608.5349,548686.8561,117.8353319,4.963489139,,14D,04 57.808,117 50.117,,,
15,Y,Y,15,"N,S,E,W",KP,AR,590126.4956,552784.3132,117.8129909,5.000581499,,15D,05 00.039,117 48.781,,,
16,Y,Y,16,"N,S,E,W",KP,AR,594471.5342,551367.6734,117.8521662,4.987717329,,16D,04 59.263,117 51.131,,,
17,Y,Y,17,"N,S,E,W",KP,AR,591028.0378,551967.3512,117.8211136,4.993181377,,17D,04 59.586,117 49.272,,,
18,Y,Y,18,"N,S,E,W",KP,AR,588830.8764,554670.8933,117.8013253,5.017661386,,18D,05 01.058,117 48.081,,,
19,Y,Y,19,"N,S,E,W",KP,AR,591215.2745,552530.8858,117.8228088,4.998276818,,19D,04 59.891,117 49.364,,,
20,Y,Y,20,"N,S,E,W",KP,AR,590533.7233,553243.4923,117.8166692,5.004730527,,20D,05 00.287,117 49.003,,,
21,combined,Y,21,"N,S,E,W",KP,NR,594737.0658,550042.0005,117.8545457,4.975722692,,21D,04 58.547,117 51.268,,,
22,Y,Y,22,"N,S,E,W",KP,NR,596185.8095,550260.8663,117.8676152,4.977685377,,22D,04 58.665,117 52.052,,,
23,Y,Y,23,"N,S,E,W",KP,NR,596915.2426,550896.1766,117.8742019,4.983423418,,23D,04 59.003,117 52.455,,,
24,Y,Y,24,"N,S,E,W",KP,NR,599389.2655,551570.3351,117.8965247,4.989491485,,24D,04 59.367,117 53.797,,,
25,Y,Y,25,"N,S,E,W",KP,NR,599810.0994,551454.3307,117.900319,4.988436975,,25D,04 59.307,117 54.02,,,
26,Y,Y,26,"N,S,E,W",KP,NR,599867.463,551556.6283,117.9008377,4.989361599,,26D,04 59.358,117 54.053,,,
27,Y,Y,27,"N,S,E,W",KP,AR,597391.3557,550820.1727,117.8784953,4.982730197,,27D,04 58.963,117 52.71,,,
28,Y,Y,28,"N,S,E,W",KP,AR,583276.1828,559253.9358,117.7512681,5.059178356,,28D,05 03.552,117 45.073,,,
29,Y,Y,29,"N,S,E,W",KP,AR,581843.2015,559968.3942,117.7383487,5.0656561,,29D,05 03.935,117 44.3,,,
30,Y,Y,30,"N,S,E,W",KP,AR,597116.242,550987.9292,117.8760159,4.984250959,,30D,04 59.053,117 52.562,,,
31,Y,Y,31,"N,S,E,W",KP,NR,595501.6346,550570.2929,117.8614479,4.98049243,,31D,04 58.825,117 51.687,,,
32,Y,Y,32,"N,S,E,W",KP,NR,588042.9922,556200.4686,117.7942351,5.031506209,,32D,05 01.89,117 47.652,,,
33,Y,Y,33,"N,S,E,W",KP,NR,587714.7271,555886.2906,117.7912706,5.028667838,,33D,05 01.717,117 47.477,,,
34,Y,Y,34,"N,S,E,W",KP,NR,585884.8112,557321.4776,117.7747794,5.041670056,,34D,05 02.498,117 46.485,,,
35,Y,Y,35,"N,S,E,W",KP,NR,585239.586,557823.2481,117.7689645,5.046215877,,35D,05 02.772,117 46.135,,,
36,Y,Y,1981_1,,RIL,AR,596926.7346,550427.4443,117.8743,4.979183329,,1981_1,04 58.75099974,117 52.458,4.979183329,,117.8743
37,Y,N,1981_2,,RIL,x,598369.2526,548164.8985,117.8872834,4.95869997,,1981_2,,,4.95869997,,117.8872834
38,Y,N,1981_3,,RIL,x,598544.7034,548240.6821,117.8888667,4.959383346,,1981_3,,,4.959383346,,117.8888667
39,Y,Y,1981_4,,RIL,NR,596933.1476,551169.9899,117.8743667,4.9859,,1981_4,04 59.154,117 52.462002,4.9859,,117.8743667
40,Y,Y,1981_5,,RIL,AR,599637.1604,550703.7845,117.89875,4.98165004,,1981_5,,,4.98165004,,117.89875
41,Y,N,1983_1,,RIL,x,596350.7771,547178.3204,117.8690666,4.949799981,,1983_1,,,4.949799981,,117.8690666
42,Y,N,1983_3,,RIL,x,596622.3921,545793.1064,117.8715,4.937266689,,1983_3,,,4.937266689,,117.8715
43,Y,N,1983_4,,RIL,x,597113.7363,545957.737,117.8759333,4.938750034,,1983_4,,,4.938750034,,117.8759333
44,Y,N,1983_5,,RIL,x,595454.8972,544043.0436,117.86095,4.921450038,,1983_5,,,4.921450038,,117.86095
45,Y,N,1988_1,,RIL,x,594907.5183,548633.8795,117.8560666,4.962983374,,1988_1,,,4.962983374,,117.8560666
46,Y,N,1988_2,,RIL,x,594621.9096,548005.2127,117.8534833,4.957300024,,1988_2,,,4.957300024,,117.8534833
47,Y,Y,1988_3,,RIL,AR,593690.8013,550718.0351,117.8451167,4.981850032,,1988_3,04 58.91100192,117 50.707002,4.981850032,,117.8451167
48,Y,N,1988_4,,RIL,x,592305.2998,550427.0009,117.8326167,4.979233369,,1988_4,,,4.979233369,,117.8326167
49,Y,Y,1988_5,,RIL,AR,595048.6063,550985.1081,117.8573667,4.984250022,,1988_5,04 59.05500132,117 51.442002,4.984250022,,117.8573667
50,Y,Y,1989_1,,RIL,NR,590306.0593,550343.4367,117.8145833,4.978500037,,1989_1,04 58.71000222,117 48.874998,4.978500037,,117.8145833
51,Y,Y,1989_2,,RIL,NR,591005.9151,550722.0116,117.8209,4.981916668,,1989_2,04 58.91500008,117 49.254,4.981916668,,117.8209
52,Y,Y,1989_3,,RIL,AR,590225.031,551618.3425,117.8138667,4.990033368,,1989_3,04 59.40200208,117 48.832002,4.990033368,,117.8138667
53,Y,Y,1989_4,,RIL,NR,589382.717,551388.8312,117.8062666,4.987966642,,1989_4,,,4.987966642,,117.8062666
54,Y,Y,1989_5,,RIL,NR,591528.9259,549178.6484,117.8256,4.967949986,,1989_5,04 58.07699916,117 49.536,4.967949986,,117.8256
55,Y,N,1993_1,,RIL,x,589716.3463,542963.535,117.8091833,4.911749996,,1993_1,,,4.911749996,,117.8091833
56,Y,N,1993_2,,RIL,x,588838.4458,543050.9144,117.8012667,4.912549965,,1993_2,,,4.912549965,,117.8012667
57,Y,N,1993_3,,RIL,x,589473.8754,543281.9971,117.807,4.914633371,,1993_3,,,4.914633371,,117.807
58,Y,N,1993_4,,RIL,x,589698.4869,542453.1441,117.8090167,4.907133328,,1993_4,,,4.907133328,,117.8090167
59,Y,N,1993_5,,RIL,x,590209.4709,543207.3415,117.8136333,4.913949994,,1993_5,,,4.913949994,,117.8136333
60,Y,N,DANUM,,RIL,intact,589004.7443,548611.188,117.802827,4.962844988,,,,,,,
,,,,,,,,,,,,,,,https://latlongdata.com/lat-long-converter/,,
