original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Acranthera multiflora,Rubiaceae,Acranthera,multiflora,Rubiaceae,Acranthera,frutescens,Acranthera multiflora is a synonym for Acranthera frutescens.,NA,50ha,unlogged
Acranthera velutinervia,Rubiaceae,Acranthera,velutinervia,Rubiaceae,Acranthera,velutinervia,,NA,50ha,unlogged
Actinodaphne borneensis,Lauraceae,Actinodaphne,borneensis,Lauraceae,Actinodaphne,borneensis,,NA,50ha,unlogged
Actinodaphne glomerata,Lauraceae,Actinodaphne,glomerata,Lauraceae,Actinodaphne,glomerata,,NA,50ha,unlogged
Actinodaphne macrophylla,Lauraceae,Actinodaphne,macrophylla,Lauraceae,Actinodaphne,macrophylla,,NA,50ha,unlogged
Actinodaphne pruinosa,Lauraceae,Actinodaphne,pruinosa,Lauraceae,Actinodaphne,pruinosa,,NA,50ha,unlogged
Actinodaphne species 1,Lauraceae,Actinodaphne,species 1,Lauraceae,Actinodaphne,species 1,not identified to species level,NA,50ha,unlogged
Actinodaphne unknown mixed,Lauraceae,Actinodaphne,unknown mixed,Lauraceae,Actinodaphne,unknown mixed,not identified to species level,NA,"50ha, CP",both
Adenanthera kostermansii,Fabaceae,Adenanthera,kostermansii,Fabaceae,Adenanthera,kostermansii,,NA,"50ha, CP",both
Adenanthera malayana,Fabaceae,Adenanthera,malayana,Fabaceae,Adenanthera,malayana,,NA,"50ha, CP",both
Adinandra unknown mixed,Theaceae,Adinandra,unknown mixed,Theaceae,Adinandra,unknown mixed,not identified to species level,NA,CP,logged
Aglaia angustifolia,Meliaceae,Aglaia,angustifolia,Meliaceae,Aglaia,angustifolia,,NA,"50ha, CP",both
Aglaia argentea,Meliaceae,Aglaia,argentea,Meliaceae,Aglaia,argentea,,NA,"50ha, CP",both
Aglaia crassinervia,Meliaceae,Aglaia,crassinervia,Meliaceae,Aglaia,crassinervia,,NA,50ha,unlogged
Aglaia edulis,Meliaceae,Aglaia,edulis,Meliaceae,Aglaia,edulis,,NA,50ha,unlogged
Aglaia elliptica,Meliaceae,Aglaia,elliptica,Meliaceae,Aglaia,elliptica,,NA,50ha,unlogged
Aglaia grandis,Meliaceae,Aglaia,grandis,Meliaceae,Aglaia,grandis,,NA,50ha,unlogged
Aglaia luzoniensis,Meliaceae,Aglaia,luzoniensis,Meliaceae,Aglaia,luzoniensis,,NA,50ha,unlogged
Aglaia macrocarpa,Meliaceae,Aglaia,macrocarpa,Meliaceae,Aglaia,macrocarpa,,NA,50ha,unlogged
Aglaia odoratissima,Meliaceae,Aglaia,odoratissima,Meliaceae,Aglaia,odoratissima,,NA,"50ha, CP",both
Aglaia oligophylla,Meliaceae,Aglaia,oligophylla,Meliaceae,Aglaia,oligophylla,,NA,50ha,unlogged
Aglaia silvestris,Meliaceae,Aglaia,silvestris,Meliaceae,Aglaia,silvestris,,NA,"50ha, CP",both
Aglaia spectabilis,Meliaceae,Aglaia,spectabilis,Meliaceae,Aglaia,spectabilis,,NA,"50ha, CP",both
Aglaia tomentosa,Meliaceae,Aglaia,tomentosa,Meliaceae,Aglaia,tomentosa,,NA,"50ha, CP",both
Aglaia unknown mixed,Meliaceae,Aglaia,unknown mixed,Meliaceae,Aglaia,unknown mixed,not identified to species level,NA,"50ha, CP",both
Alangium javanicum,Alangiaceae,Alangium,javanicum,Cornaceae,Alangium,javanicum,corrected family,Unlogged,"50ha, CP, IF",both
Allophylus cobbe,Sapindaceae,Allophylus,cobbe,Sapindaceae,Allophylus,cobbe,,NA,50ha,unlogged
Alseodaphne bancana,Lauraceae,Alseodaphne,bancana,Lauraceae,Alseodaphne,bancana,,NA,50ha,unlogged
Alseodaphne unknown mixed,Lauraceae,Alseodaphne,unknown mixed,Lauraceae,Alseodaphne,unknown mixed,not identified to species level,NA,"50ha, CP",both
Alstonia angustifolia,Apocynaceae,Alstonia,angustifolia,Apocynaceae,Alstonia,angustifolia,,NA,"50ha, CP",both
Alstonia iwagighensis,Apocynaceae,Alstonia,iwagighensis,Apocynaceae,Alstonia,iwahigensis,corrected iwagighensis to iwahigensis,NA,50ha,unlogged
Anaxagorea javanica,Annonaceae,Anaxagorea,javanica,Annonaceae,Anaxagorea,javanica,,NA,50ha,unlogged
Anisophyllea beccariana,Anisophylleaceae,Anisophyllea,beccariana,Anisophylleaceae,Anisophyllea,beccariana,,NA,50ha,unlogged
Anisophyllea cornerii,Anisophylleaceae,Anisophyllea,cornerii,Anisophylleaceae,Anisophyllea,corneri,corrected cornerii to corneri,NA,"50ha, CP",both
Anisoptera costata,Dipterocarpaceae,Anisoptera,costata,Dipterocarpaceae,Anisoptera,costata,,NA,"50ha, CP",both
Antiaris toxicaria,Moraceae,Antiaris,toxicaria,Moraceae,Antiaris,toxicaria,,NA,50ha,unlogged
Antidesma leucopodum,Phyllanthaceae,Antidesma,leucopodum,Phyllanthaceae,Antidesma,leucopodum,,NA,50ha,unlogged
Antidesma neurocarpum,Phyllanthaceae,Antidesma,neurocarpum,Phyllanthaceae,Antidesma,neurocarpum,,NA,50ha,unlogged
Antidesma species 1,Phyllanthaceae,Antidesma,species 1,Antidesma species 1,Phyllanthaceae,species 1,not identified to species level,NA,CP,logged
Antidesma tomentosum,Phyllanthaceae,Antidesma,tomentosum,Phyllanthaceae,Antidesma,roxburghii,Antidesma tomemtosum is a synonym for Antidesma roxburghii,NA,50ha,unlogged
Antidesma unknown mixed,Phyllanthaceae,Antidesma,unknown mixed,Phyllanthaceae,Antidesma,unknown mixed,not identified to species level,NA,"50ha, CP",both
Aphanamixis borneensis,Meliaceae,Aphanamixis,borneensis,Meliaceae,Aphanamixis,borneensis,,NA,50ha,unlogged
Aphanamixis unknown mixed,Meliaceae,Aphanamixis,unknown mixed,Meliaceae,Aphanamixis,unknown mixed,not identified to species level,NA,50ha,unlogged
Aporusa elmeri,Phyllanthaceae,Aporusa,elmeri,Phyllanthaceae,Aporosa,elmeri,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa falcifera,Phyllanthaceae,Aporusa,falcifera,Phyllanthaceae,Aporosa,falcifera,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa frutescens,Phyllanthaceae,Aporusa,frutescens,Phyllanthaceae,Aporosa,frutescens,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa grandistipula,Phyllanthaceae,Aporusa,grandistipula,Phyllanthaceae,Aporosa,grandistipula,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa illustris,Phyllanthaceae,Aporusa,illustris,Phyllanthaceae,Aporosa,illustris,Aporusa corrected to Aporosa,NA,CP,logged
Aporusa unknown mixed,Phyllanthaceae,Aporusa,unknown mixed,Phyllanthaceae,Aporusa,unknown mixed,not identified to species level,NA,CP,logged
Aquilaria beccariana,Thymelaeaceae,Aquilaria,beccariana,Thymelaeaceae,Aquilaria,beccariana,,NA,50ha,unlogged
Archidendron microcarpum,Fabaceae-mimosoideae,Archidendron,microcarpum,Fabaceae,Archidendron,microcarpum,corrected family,NA,50ha,unlogged
Archidendron unknown mixed,Fabaceae-mimosoideae,Archidendron,unknown mixed,Fabaceae,Archidendron,unknown mixed,corrected family + not sure what to do about 'unknown mixed',NA,50ha,unlogged
Ardisia colorata,Primulaceae,Ardisia ,colorata,Primulaceae,Ardisia ,colorata,"not recorded as occuring in Borneo, only in Assam and N.Bangladesh.",NA,CP,logged
Ardisia macrophylla,Primulaceae,Ardisia ,macrophylla,Primulaceae,Ardisia ,macrophylla,,NA,CP,logged
Ardisia  unknown mixed,Primulaceae,Ardisia ,unknown mixed,Primulaceae,Ardisia ,unknown mixed,not identified to species level,NA,CP,logged
Artocarpus anisophyllus,Moraceae,Artocarpus,anisophyllus,Moraceae,Artocarpus,anisophyllus,,NA,"50ha, CP",both
Artocarpus elasticus,Moraceae,Artocarpus,elasticus,Moraceae,Artocarpus,elasticus,,NA,CP,logged
Artocarpus heterophyllus,Moraceae,Artocarpus,heterophyllus,Moraceae,Artocarpus,heterophyllus,"native to SW India, introduced in Borneo",NA,CP,logged
Artocarpus unknown mixed,Moraceae,Artocarpus,unknown mixed,Moraceae,Artocarpus,unknown mixed,not identified to species level,NA,CP,logged
Atuna racemosa,Chrysobalanaceae,Atuna,racemosa,Chrysobalanaceae,Atuna,excelsa,Atuna racemosa is a subspecies of Atuna excelsa,NA,CP,logged
Azadirachta excelsa,Meliaceae,Azadirachta,excelsa,Meliaceae,Azadirachta,excelsa,,NA,"50ha, CP",both
Baccaurea edulis,Phyllanthaceae,Baccaurea,edulis,Phyllanthaceae,Baccaurea,edulis,,NA,50ha,unlogged
Baccaurea lanceolata,Phyllanthaceae,Baccaurea,lanceolata,Phyllanthaceae,Baccaurea,lanceolata,,NA,"50ha, CP",both
Baccaurea macrocarpa,Phyllanthaceae,Baccaurea,macrocarpa,Phyllanthaceae,Baccaurea,macrocarpa,,NA,"50ha, CP",both
Baccaurea parviflora,Phyllanthaceae,Baccaurea,parviflora,Phyllanthaceae,Baccaurea,parviflora,,NA,50ha,unlogged
Baccaurea species 1,Phyllanthaceae,Baccaurea,species 1,Phyllanthaceae,Baccaurea,species 1,not identified to species level,NA,50ha,unlogged
Baccaurea tetrandra,Phyllanthaceae,Baccaurea,tetrandra,Phyllanthaceae,Baccaurea,tetrandra,,NA,"50ha, CP",both
Baccaurea unknown mixed,Phyllanthaceae,Baccaurea,unknown mixed,Phyllanthaceae,Baccaurea,unknown mixed,not identified to species level,NA,"50ha, CP",both
Barringtonia lanceolata,Barringtoniaceae,Barringtonia,lanceolata,Lecythidaceae ,Barringtonia,lanceolata,corrected family,NA,"50ha, CP",both
Barringtonia macrostachya,Barringtoniaceae,Barringtonia,macrostachya,Lecythidaceae ,Barringtonia,macrostachya,corrected family,NA,"50ha, CP",both
