"binomial_name","Genus","Species","Family","history_at_CP_site","species_origin","logging_status","history_at_IF_site"
"Acranthera multiflora","Acranthera","multiflora","Rubiaceae",NA,"50ha","unlogged",NA
"Acranthera velutinervia","Acranthera","velutinervia","Rubiaceae",NA,"50ha","unlogged",NA
"Actinodaphne borneensis","Actinodaphne","borneensis","Lauraceae",NA,"50ha","unlogged",NA
"Actinodaphne glomerata","Actinodaphne","glomerata","Lauraceae",NA,"50ha","unlogged",NA
"Actinodaphne macrophylla","Actinodaphne","macrophylla","Lauraceae",NA,"50ha","unlogged",NA
"Actinodaphne pruinosa","Actinodaphne","pruinosa","Lauraceae",NA,"50ha","unlogged",NA
"Actinodaphne species 1","Actinodaphne","species 1","Lauraceae",NA,"50ha","unlogged",NA
"Actinodaphne unknown mixed","Actinodaphne","unknown mixed","Lauraceae","no seedling data, AR, NR","CP, 50ha","both",NA
"Adenanthera kostermansii","Adenanthera","kostermansii","Fabaceae","AR, NR","CP, 50ha","both",NA
"Adenanthera malayana","Adenanthera","malayana","Fabaceae","AR","CP, 50ha","both",NA
"Adinandra unknown mixed","Adinandra","unknown mixed","Theaceae","NR","CP","logged",NA
"Aglaia angustifolia","Aglaia","angustifolia","Meliaceae","AR","CP, 50ha","both",NA
"Aglaia argentea","Aglaia","argentea","Meliaceae","AR, NR","CP, 50ha","both",NA
"Aglaia crassinervia","Aglaia","crassinervia","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia edulis","Aglaia","edulis","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia elliptica","Aglaia","elliptica","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia grandis","Aglaia","grandis","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia luzoniensis","Aglaia","luzoniensis","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia macrocarpa","Aglaia","macrocarpa","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia odoratissima","Aglaia","odoratissima","Meliaceae","AR, NR","CP, 50ha","both",NA
"Aglaia oligophylla","Aglaia","oligophylla","Meliaceae",NA,"50ha","unlogged",NA
"Aglaia silvestris","Aglaia","silvestris","Meliaceae","AR, NR","CP, 50ha","both",NA
"Aglaia spectabilis","Aglaia","spectabilis","Meliaceae","AR, NR","CP, 50ha","both",NA
"Aglaia tomentosa","Aglaia","tomentosa","Meliaceae","AR, NR","CP, 50ha","both",NA
"Aglaia unknown mixed","Aglaia","unknown mixed","Meliaceae","AR, NR, no seedling data","CP, 50ha","both",NA
