station,latco,longco,surveyed,tree_number,diameter_mm,height_m,species_code,family,genus,species,fgeocode,genusCorr,speciesCorr,wooddensity
100,548164,598369,2016,437,277,23.3,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
113,548240,598544,2016,816,346,28.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
114,548240,598544,2016,816,346,28.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
115,548164,598369,2016,437,277,23.3,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
116,548164,598369,2016,437,277,23.3,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
125,548633,594907,2016,4360,289,26.9,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
126,548633,594907,2016,4360,289,26.9,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
127,548633,594907,2016,4360,289,26.9,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
128,548633,594907,2016,4360,289,26.9,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
174,543207,590209,2016,9600,221,10.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
175,543207,590209,2016,9600,221,10.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
176,543207,590209,2016,9600,221,10.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
177,543207,590209,2016,9600,221,10.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
197,548164,598369,2016,437,277,23.3,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
198,548240,598544,2016,816,346,28.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
199,548240,598544,2016,816,346,28.8,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
92,545793,596622,2016,3406,814,36.6,Dipterocarpaceae_Shorea_gibbosa,Dipterocarpaceae,Shorea,gibbosa,NA,Shorea,gibbosa,0.455
