"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status"
"Acranthera frutescens","Rubiaceae","Acranthera","frutescens",NA,NA,"50ha","unlogged"
"Acranthera velutinervia","Rubiaceae","Acranthera","velutinervia",NA,NA,"50ha","unlogged"
"Actinodaphne borneensis","Lauraceae","Actinodaphne","borneensis",NA,NA,"50ha","unlogged"
"Actinodaphne glomerata","Lauraceae","Actinodaphne","glomerata",NA,NA,"50ha","unlogged"
"Actinodaphne macrophylla","Lauraceae","Actinodaphne","macrophylla",NA,NA,"50ha","unlogged"
"Actinodaphne pruinosa","Lauraceae","Actinodaphne","pruinosa",NA,NA,"50ha","unlogged"
"Actinodaphne species 1","Lauraceae","Actinodaphne","species 1",NA,NA,"50ha","unlogged"
"Actinodaphne unknown mixed","Lauraceae","Actinodaphne","unknown mixed",NA,"no seedling data, AR, NR","CP, 50ha","both"
"Adenanthera kostermansii","Fabaceae","Adenanthera","kostermansii",NA,"AR, NR","CP, 50ha","both"
"Adenanthera malayana","Fabaceae","Adenanthera","malayana",NA,"AR","CP, 50ha","both"
"Adinandra unknown mixed","Theaceae","Adinandra","unknown mixed",NA,"NR","CP","logged"
"Aglaia angustifolia","Meliaceae","Aglaia","angustifolia",NA,"AR","CP, 50ha","both"
"Aglaia argentea","Meliaceae","Aglaia","argentea",NA,"AR, NR","CP, 50ha","both"
"Aglaia crassinervia","Meliaceae","Aglaia","crassinervia",NA,NA,"50ha","unlogged"
"Aglaia edulis","Meliaceae","Aglaia","edulis",NA,NA,"50ha","unlogged"
"Aglaia elliptica","Meliaceae","Aglaia","elliptica",NA,NA,"50ha","unlogged"
"Aglaia grandis","Meliaceae","Aglaia","grandis",NA,NA,"50ha","unlogged"
"Aglaia luzoniensis","Meliaceae","Aglaia","luzoniensis",NA,NA,"50ha","unlogged"
"Aglaia macrocarpa","Meliaceae","Aglaia","macrocarpa",NA,NA,"50ha","unlogged"
"Aglaia odoratissima","Meliaceae","Aglaia","odoratissima",NA,"AR, NR","CP, 50ha","both"
"Aglaia oligophylla","Meliaceae","Aglaia","oligophylla",NA,NA,"50ha","unlogged"
"Aglaia silvestris","Meliaceae","Aglaia","silvestris",NA,"AR, NR","CP, 50ha","both"
"Aglaia spectabilis","Meliaceae","Aglaia","spectabilis",NA,"AR, NR","CP, 50ha","both"
"Aglaia tomentosa","Meliaceae","Aglaia","tomentosa",NA,"AR, NR","CP, 50ha","both"
"Aglaia unknown mixed","Meliaceae","Aglaia","unknown mixed",NA,"AR, NR, no seedling data","CP, 50ha","both"
"Alangium javanicum","Cornaceae","Alangium","javanicum",NA,"AR, NR","CP, 50ha","both"
"Allophylus cobbe","Sapindaceae","Allophylus","cobbe",NA,NA,"50ha","unlogged"
"Alseodaphne bancana","Lauraceae","Alseodaphne","bancana",NA,NA,"50ha","unlogged"
"Alseodaphne unknown mixed","Lauraceae","Alseodaphne","unknown mixed",NA,"AR","CP, 50ha","both"
"Alstonia angustifolia","Apocynaceae","Alstonia","angustifolia",NA,"NR, AR","CP, 50ha","both"
"Alstonia iwahigensis","Apocynaceae","Alstonia","iwahigensis",NA,NA,"50ha","unlogged"
"Anaxagorea javanica","Annonaceae","Anaxagorea","javanica",NA,NA,"50ha","unlogged"
"Anisophyllea beccariana","Anisophylleaceae","Anisophyllea","beccariana",NA,NA,"50ha","unlogged"
"Anisophyllea corneri","Anisophylleaceae","Anisophyllea","corneri",NA,"NR, AR","CP, 50ha","both"
"Anisoptera costata","Dipterocarpaceae","Anisoptera","costata",NA,"AR","CP, 50ha","both"
"Antiaris toxicaria","Moraceae","Antiaris","toxicaria",NA,NA,"50ha","unlogged"
"Antidesma leucopodum","Phyllanthaceae","Antidesma","leucopodum",NA,NA,"50ha","unlogged"
"Antidesma neurocarpum","Phyllanthaceae","Antidesma","neurocarpum",NA,NA,"50ha","unlogged"
"Phyllanthaceae species 1","Antidesma species 1","Phyllanthaceae","species 1",NA,"NR","CP","logged"
"Antidesma roxburghii","Phyllanthaceae","Antidesma","roxburghii",NA,NA,"50ha","unlogged"
"Antidesma unknown mixed","Phyllanthaceae","Antidesma","unknown mixed",NA,"AR","CP, 50ha","both"
"Aphanamixis borneensis","Meliaceae","Aphanamixis","borneensis",NA,NA,"50ha","unlogged"
"Aphanamixis unknown mixed","Meliaceae","Aphanamixis","unknown mixed",NA,NA,"50ha","unlogged"
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",NA,"AR, NR","CP","logged"
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",NA,"AR, NR","CP","logged"
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"AR, NR","CP","logged"
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",NA,"AR, NR","CP","logged"
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"NR, AR","CP","logged"
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"NR, AR","CP","logged"
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,NA,"50ha","unlogged"
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,NA,"50ha","unlogged"
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,NA,"50ha","unlogged"
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,NA,NA,NA
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,NA,NA,NA
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"AR","CP","logged"
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",NA,"NR","CP, 50ha","both"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus",NA,"NR","CP","logged"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",NA,"AR","CP","logged"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"AR","CP","logged"
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"NR","CP","logged"
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",NA,"AR","CP, 50ha","both"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,NA,"50ha","unlogged"
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"AR, NR","CP, 50ha","both"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"no seedling data","CP, 50ha","both"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,NA,"50ha","unlogged"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,NA,"50ha","unlogged"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"AR, NR","CP, 50ha","both"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"AR, NR","CP, 50ha","both"
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"AR, NR","CP, 50ha","both"
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",NA,"AR, NR","CP, 50ha","both"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,NA,"50ha","unlogged"
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,NA,"50ha","unlogged"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",NA,NA,"50ha","unlogged"
"Beilschmiedia ","Lauraceae","Beilschmiedia","",NA,"NR","CP, 50ha","both"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",NA,"AR, NR","CP, 50ha","both"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis",NA,"AR, NR","CP, 50ha","both"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed",NA,"AR, NR","CP","logged"
"Bhesa paniculata","Centroplacaceae","Bhesa","paniculata",NA,NA,"50ha","unlogged"
"Blumeodendron kurzii","Euphorbiaceae","Blumeodendron","kurzii",NA,"AR, NR","CP, 50ha","both"
"Blumeodendron tokbrai","Euphorbiaceae","Blumeodendron","tokbrai",NA,"AR, NR","CP, 50ha","both"
"Bridelia ","Phyllanthaceae","Bridelia","",NA,NA,"50ha","unlogged"
"Bridelia cinnamomea","Phyllanthaceae","Bridelia","cinnamomea",NA,NA,"50ha","unlogged"
"Bridelia insulana","Phyllanthaceae","Bridelia","insulana",NA,"no seedling data, AR","CP, 50ha","both"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata",NA,"NR, AR","CP, 50ha","both"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata",NA,"NR","CP, 50ha","both"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens",NA,NA,"50ha","unlogged"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia",NA,"NR","CP, 50ha","both"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed",NA,NA,"50ha","unlogged"
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia",NA,NA,"50ha","unlogged"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra",NA,"AR, NR","CP, 50ha","both"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed",NA,"AR","CP","logged"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi",NA,"NR, AR","CP, 50ha","both"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes",NA,"AR","CP, 50ha","both"
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum",NA,NA,"50ha","unlogged"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri",NA,"NR","CP, 50ha","both"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1",NA,NA,"50ha","unlogged"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2",NA,NA,"50ha","unlogged"
